■생활관식당(블루미르308관)
2016년 12월 05일 ~ 2016년 12월 11일
주간식단표
구분,월요일(12/05),화요일(12/06),수요일(12/07),목요일(12/08),금요일(12/09),토요일(12/10),일요일(12/11)
조식,한식,"황태해장국
후랑크야채볶음(돈육:수입산
국내산
계육:국내산)
도토리묵*양념장
마늘장아찌
쌀밥/배추김치","오징어떡볶음(오징어:칠레산)
시금치국
굴소스새송이볶음
콩나물무침
쌀밥/배추김치","꽁치강정
호박고추장찌개
소면야채무침
다시마튀각
쌀밥/배추김치","장터국밥(우육:호주산)
계란장조림
부추생채
멸치볶음
쌀밥/깍두기","고기산적구이(돈육
계육:국내산)
미역줄기볶음
김치콩나물국
브로컬리&초장
쌀밥/깍두기","사골떡국
떡갈비조림(돈육:국내산)
시금치나물
해초샐러드
쌀밥/배추김치","비엔나소시지볶음(계육:국내산
돈육:국내산
수입산)
어묵국
우엉조림
실곤약채소무침
쌀밥/배추김치"
693Kcal,696Kcal,942Kcal,747Kcal,926Kcal,920Kcal,822Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","견과류핫케익
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","시나몬토스트
감자튀김
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","참치샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","단호박죽
삶은계란*소금
얼갈이겉절이(배추:국내산
고추가루:중국산)
씨리얼/우유/과일",,
669Kcal,606Kcal,737Kcal,719Kcal,687Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
