■생활관식당(블루미르308관)
2016년 12월 12일 ~ 2016년 12월 18일
주간식단표
구분,월요일(12/12),화요일(12/13),수요일(12/14),목요일(12/15),금요일(12/16),토요일(12/17),일요일(12/18)
조식,한식,"조랭이미역국
떡갈비조림(돈육:국내산)
고구마순볶음
오이맛고추무침
쌀밥/배추김치","근대된장국
참치김치볶음
무햄볶음
부추들깨무침
쌀밥/배추김치","장터국밥(우육:호주산)
완자조림(계육
돈육:국내산)
시래기된장지짐
치커리들깨소스무침
쌀밥/깍두기","오징어찌개(오징어:칠레산)
알찬소시지전*케찹
잔멸치볶음
무말랭이무침
쌀밥/배추김치","순두부찌개
고기산적떡조림(돈육
계육:국내산)
무나물
쑥갓겉절이

쌀밥/배추김치","북어해장국
비엔나야채조림(계육:국내산
돈육:수입산
국내산)
호박볶음
숙주나물
쌀밥/깍두기","로즈마리꽁치구이
김치국
감자채볶음
미역초무침
쌀밥/깍두기"
750Kcal,699Kcal,676Kcal,648Kcal,742Kcal,750Kcal,685Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"시나몬토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","누룽지죽
치킨너겟(계육:국내산)
양배추샐러드
씨리얼/우유/과일
배추김치","참치샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵볶음
열무생채
씨리얼/우유/과일","꽈배기도너츠
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
699Kcal,710Kcal,742Kcal,704Kcal,738Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"(뚝)돈육김치찌개(돈육:미국산)
새우완자전
우엉조림
시금치나물
쌀밥/무생채","만두설렁탕*소면
새송이비엔나볶음(계육:국내산
돈육:수입산
국내산)
김치전
콩나물파생채
쌀밥/깍두기
","돈육떡볶음(돈육:미국산)
미역국
두부구이*양념장
고추지
쌀밥/배추김치","콩나물밥*양념장
미니잔치국수
만두강정
맛살겨자냉채
배추김치","매콤오징어콩나물비빔밥
미역장국
두부탕수
탕평채
배추김치","떡국
돼지고기고추장볶음(돈육:미국산)
양배추쌈*쌈장
와사비무초절임
쌀밥/배추김치","춘천닭갈비(계육:브라질산)
콩나물국
콘샐러드
파래김구이
쌀밥/배추김치"
788Kcal,765Kcal,760Kcal,722Kcal,750Kcal,765Kcal,750Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"규동(우육:호주산)
맑은우동국물
마카로니샐러드
단무지","닭갈비볶음밥(계육:브라질산)*김가루
유부장국
야채크로켓
누룽지샐러드
단무지","치킨마요덮밥(계육:국내산)
미역장국
단호박맛탕
단무지","등심돈까스(돈육:국내산)
크림스프
채소볶음밥
감자튀김
오이피클","자장덮밥
짬뽕국
만두튀김
단무지","매콤고추잡채덮밥
팽이버섯장국
딤섬(지마구)
단무지","햄채소볶음밥
맑은장국
핫도그(돈육
계육:국내산)
치커리생채
단무지"
690Kcal,775Kcal,775Kcal,766Kcal,765Kcal,735Kcal,763Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"새우튀김우동
유부초밥
마카로니샐러드
단무지","함박스테이크(계육
돈육:국내산)
야채볶음밥*스프
감자튀김
오이피클","(뚝)부대찌개*라면사리*치즈사리(돈육:수입산
국내산
계육:국내산)
어묵미역줄기볶음
쌀밥/깍두기","시래기순대국(돈목뼈:국내산)
장떡
양파초절임
쌀밥/깍두기","(뚝)부대찌개*우동사리(돈육:수입산
국내산
계육:국내산)
두부탕수
콩나물무침
쌀밥/깍두기",,
755Kcal,750Kcal,735Kcal,763Kcal,745Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
