■생활관식당(블루미르308관)
2016년 12월 19일 ~ 2016년 12월 25일
주간식단표
구분,월요일(12/19),화요일(12/20),수요일(12/21),목요일(12/22),금요일(12/23),토요일(12/24),일요일(12/25)
조식,한식,"참치김치볶음
어묵국
미역줄기볶음
오이맛고추무침
쌀밥/깍두기","치킨너겟(계육:국내산)
감자양파국
마늘쫑멸치볶음
양파톳무침
쌀밥/배추김치","순두부찌개
꽁치튀김*와사비장
어묵채우엉조림
무생채
쌀밥/배추김치","해물완자떡조림
배추된장국
연두부*양념장
부추적채겉절이
쌀밥/배추김치
계란후라이","돈육굴소스볶음(돈육:미국산)
콩나물국
무나물
깻잎지무침
쌀밥/깍두기","비엔나소시지볶음(계육:국내산
돈육:수입산
국내산)
두부김치국
시래기된장지짐
도시락김
쌀밥/깍두기","감자고추장찌개
고기산적조림(돈육
계육:국내산)
명엽채볶음
치커리생채
쌀밥/배추김치"
666Kcal,659Kcal,792Kcal,710Kcal,712Kcal,649Kcal,778Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","야채죽
어묵볶음
무말랭이무침
양배추샐러드
씨리얼/우유/과일","피자토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,"견과류핫케익
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
694Kcal,693Kcal,720Kcal,0Kcal,632Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40, :~ :,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원
중식,한식,"돈육떡볶음(돈육:미국산)
들깨미역국
잡채
무초절임
쌀밥/배추김치","취나물버섯밥&양념장
근대된장국
꼬마돈까스튀김(돈육
계육:국내산)
소면야채무침
배추김치","닭곰탕*소면사리(계육:국내산)
두부구이*양념장
고추지무침
쌀밥/깍두기","오징어볶음*소면(오징어:칠레산)
배추된장국
환어묵강정
마늘장아찌
쌀밥/배추김치","닭갈비*떡사리(계육:브라질산)
미소장국
삼색겨자냉채
옥수수전
쌀밥/배추김치","육개장(우육:호주산)
너비아니조림(돈육
계육:국내산)
건파래볶음
부추생채
쌀밥/깍두기",
724Kcal,729Kcal,673Kcal,724Kcal,767Kcal,755Kcal,0Kcal
