■생활관식당(블루미르308관)
2016년 12월 26일 ~ 2017년 01월 01일
주간식단표
구분,월요일(12/26),화요일(12/27),수요일(12/28),목요일(12/29),금요일(12/30),토요일(12/31),일요일(01/01)
조식,한식,"꼬마돈까스조림(돈육
계육:국내산)
건새우무국
브로컬리&초장
고들빼기무무침
쌀밥/배추김치","돈육김치볶음(돈육:미국산)
미역국
쑥갓두부무침
마늘장아찌
쌀밥/깍두기","꽁치강정
배추된장국
연두부*양념장
깻잎지무침
쌀밥/배추김치","참치김치볶음
북어채해장국
잡채
미역초무침
쌀밥/깍두기","쇠고기무국(우육:호주산)
비엔나조림(계육:국내산
돈육:외국산
국내산)
느타리게맛살볶음
오이생채
쌀밥/깍두기","고등어무조림(고등어:국내산)
김치국
햄야채볶음
해초무침
쌀밥/깍두기","치킨너겟(계육:국내산)
고추장찌개
환어묵조림
무생채
쌀밥/배추김치"
795Kcal,698Kcal,753Kcal,694Kcal,667Kcal,754Kcal,743Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"꽈배기도너츠
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","단호박죽
모닝빵
무말랭이무침
양배추샐러드
씨리얼/우유/과일","참치샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","단호박샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","시나몬토스트
감자튀김
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
661Kcal,655Kcal,723Kcal,712Kcal,702Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
