■생활관식당(블루미르308관)
2016년 11월 28일 ~ 2016년 12월 04일
주간식단표
구분,월요일(11/28),화요일(11/29),수요일(11/30),목요일(12/01),금요일(12/02),토요일(12/03),일요일(12/04)
조식,한식,"김치찌개
미트볼조림(돈육:국내산)
미역줄기볶음
깻잎지무침
쌀밥/깍두기","사골우거지해장국(우육:호주산)
홈소시지전
깻잎순겉절이
맛느타리버섯볶음
쌀밥/깍두기","치킨너겟(계육:국내산)
감자양파국
마늘쫑실치볶음
콩나물무침
쌀밥/배추김치","수제비국
고기산적조림(돈육
계육:국내산)
부추생채
탕평채
쌀밥/배추김치","참치김치볶음
감자국
팽이버섯전
건파래볶음
쌀밥/깍두기","고등어조림(고등어:국내산)
근대된장국
사각어묵볶음
청경채겉절이
쌀밥/배추김치","닭고기굴소스볶음(계육:브라질산)
콩나물국
시래기된장조림
무말랭이무침
쌀밥/배추김치"
761Kcal,764Kcal,655Kcal,977Kcal,736Kcal,887Kcal,764Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"식빵토스트*딸기잼
데친후랑크(돈육:수입산
국내산
계육:국내산)
크림스프
양배추샐러드
씨리얼/우유/과일","참치채소죽
오이생채
얼갈이겉절이(배추:국내산
고추가루:중국산)
씨리얼/우유/과일","건포도머핀
크림스프
무비트피클
양배추샐러드
씨리얼/우유/과일","팥죽
무말랭이무침
씨리얼/우유/과일
배추김치","꽈배기도너츠
삶은계란*소금
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
753Kcal,680Kcal,612Kcal,848Kcal,746Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"비지찌개(콩비지:국내산)
햄구이*케찹(돈육:수입산
국내산
계육:국내산)
알감자조림
고들빼기무생채
쌀밥/배추김치","춘천닭갈비(계육:브라질산)
미역국
연두부(콩:수입산)
시금치나물
쌀밥/배추김치","돈육고추장볶음(돈육:미국산)
배추국
두부구이*양념장
고추지무침
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
고추장떡
오징어무무침(오징어:칠레산)
얼갈이나물
쌀밥/깍두기","순두부찌개(콩:수입산)
후랑크소시지볶음(돈육:수입산
국내산
계육:국내산)
계란찜
삼색야채냉채
쌀밥/깍두기","산채비빔밥*계란후라이
두부강정
장국
배추김치","콩불-콩나물불고기(돈육:미국산)
미역국
잡채
무생채
쌀밥/배추김치"
675Kcal,751Kcal,772Kcal,791Kcal,882Kcal,830Kcal,874Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스카레라이스(돈육:국내산)
장국
누룽지샐러드(쌀:국내산)
단무지","참치채소볶음밥*계란후라이
팽이버섯장국
핫도그(계육
돈육:국내산)
단무지","어묵유부우동
김가루양념밥
감자크로켓*케찹
단무지","등심커틀릿(돈육:국내산)
야채볶음밥*단무지
크림스프
감자튀김","김치잔치국수
오복지주먹밥
만두강정
단무지","스팸마요덮밥(돈육:수입산)
우동국
맛탕
단무지","토마토소스스파게티
감자튀김*케찹
오이피클
탄산"
924Kcal,930Kcal,778Kcal,815Kcal,957Kcal,835Kcal,964Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)김치날치알밥
장국
누룽지샐러드
(쌀:국내산)
락교&초생강","(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산)
단호박튀김
콩자반
쌀밥/깍두기","(뚝)돌솥비빔밥*계란후라이
단호박견과류조림
장국
배추김치","(뚝)부대찌개*라면사리*치즈사리(돈육:수입산
국내산
계육:국내산)
황도샐러드
쌀밥/깍두기","(뚝)닭감자탕(계육:브라질산)
푸실리샐러드
쌀밥/배추김치",,
896Kcal,907Kcal,823Kcal,773Kcal,902Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
석식,한식,"유자향돼지불고기(돈육:미국산)
매운콩나물국
사각어묵볶음
다시마쌈*초장
쌀밥/깍두기","꽁치구이*와사비장
유부장국
소면야채무침
마카로니샐러드
쌀밥/배추김치","오징어야채덮밥(오징어:칠레산)
팽이버섯국
만두튀김*간장
열무생채
배추김치","부추돼지고기볶음(돈육:미국산)
김치국
스크램블에그
미역초무침
쌀밥/배추김치","조랭이떡국
완자전
(돈육
계육:국내산)
우엉조림
무들깨나물
쌀밥/배추김치","쇠고기당면국(우육:호주산)
새송이버섯탕수
연두부*양념장(콩:수입산)
꽈리고추멸치볶음
쌀밥/깍두기","취나물밥*양념장
다시마무채국
미트볼조림(돈육:국내산)
콩나물무침
쌀밥/배추김치"
728Kcal,931Kcal,785Kcal,726Kcal,913Kcal,777Kcal,870Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"양지쌀국수(우육:호주산)
양파초절임
춘권튀김","떡갈비마요덮밥(돈육:국내산)
유부장국
양념떡강정
무비트피클","치킨커틀릿(계육:국내산)
크림스프
양배추샐러드
채소볶음밥
오이피클","나가사끼짬뽕
쌀밥(소)
사무사
짜사이채무침","야끼우동
일식장국
새우커틀릿
단무지","돈가스김치덮밥(돈육:국내산)
장국
양배추샐러드
오이피클","자장면
계란파국
군만두
단무지"
765Kcal,907Kcal,868Kcal,871Kcal,774Kcal,801Kcal,821Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
