■생활관식당(블루미르308관)
2017년 01월 09일 ~ 2017년 01월 15일
주간식단표
구분,월요일(01/09),화요일(01/10),수요일(01/11),목요일(01/12),금요일(01/13),토요일(01/14),일요일(01/15)
조식,한식,"감자수제비국
비엔나브로컬리볶음(계육:국내산
돈육:외국산
국내산)
연근땅콩조림
톳양파무침
쌀밥/배추김치","김치콩나물국
쇠고기두부조림
(우육:호주산)
마늘쫑멸치볶음
깻잎지
쌀밥/깍두기","고등어카레튀김(고등어:국내산)
시금치국
오이맛고추무침
명엽채볶음
쌀밥/배추김치","순두부찌개
너비아니엿장구이(돈육
계육:국내산)
매운콩나물무침
맛느타리버섯볶음
쌀밥/깍두기","쇠고기미역국(우육:호주산)
참치김치볶음
브로컬리*초장
숙주나물
쌀밥/깍두기","닭고기떡볶음(계육:브라질산)
어묵국
건파래자반
시금치나물
쌀밥/배추김치","두부고추장찌개
해물동그랑땡(중국산)
감자떡조림
단배추나물
쌀밥/깍두기"
689Kcal,667Kcal,637Kcal,697Kcal,633Kcal,679Kcal,700Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝빵&딸기잼
감자볼튀김
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","닭죽(계육:국내산)
무말랭이무침
사각어묵볶음
양배추샐러드
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","핫케익
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
612Kcal,613Kcal,690Kcal,661Kcal,702Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"콩비지찌개(콩비지:콩-국내산)
미니돈까스(돈육
계육:국내산)
환어묵조림
파래김구이
쌀밥/깍두기","돈육김치찌개(돈육:미국산)
미트볼조림(돈육:국내산)
잡채
오이지무침
쌀밥/깍두기","닭갈비(계육:브라질산)
배추된장국
만두탕수
열무생채
쌀밥/배추김치","돈육고추장볶음(돈육:미국산)
조랭이떡국
두부찜*양념장
고추지무침
쌀밥/배추김치","사골곰탕*소면사리(우육:호주산
농축액
우사골:호주산)
김치전
사각어묵볶음
깐마늘절임
쌀밥/깍두기","햄모듬찌개(돈육:수입산
국내산
계육:국내산)
돈육강정(돈육
계육:국내산)
옥수수전
톳양파무침
쌀밥/깍두기","콩불(콩나물불고기)(돈육:미국산)
시금치된장국
탕평채
무초절임
쌀밥/배추김치"
775Kcal,724Kcal,730Kcal,699Kcal,774Kcal,694Kcal,677Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"제육김치덮밥(돈육:미국산)
맑은홍합국
연두부*양념장
단무지","비빔국수
어묵국
두부도너츠
단무지","볶음밥*자장소스
짬뽕국
만두튀김
단무지","김치잔치국수
고구마맛탕
솎음배추겉절이(배추:국내산
고추가루:중국산)
요구르트","떡갈비마요덮밥(돈육:국내산)
유부장국
지마구
단무지",,
712Kcal,757Kcal,699Kcal,713Kcal,727Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
