■생활관식당(블루미르308관)
2017년 01월 16일 ~ 2017년 01월 22일
주간식단표
구분,월요일(01/16),화요일(01/17),수요일(01/18),목요일(01/19),금요일(01/20),토요일(01/21),일요일(01/22)
조식,한식,"고추장찌개
치킨너겟(계육:국내산)
마늘쫑멸치볶음
콩나물무침
쌀밥/깍두기","오징어볶음(오징어:국내산
칠레산)
배추국
알감자조림
시금치나물
쌀밥/배추김치","꽁치김치조림
순두부맑은국
햄야채볶음
실곤약채소무침
쌀밥/깍두기","쇠고기당면국(우육:호주산)
완자전(돈육
계육:국내산)
맛느타리버섯볶음
무생채
쌀밥/배추김치","떡갈비조림(돈육:국내산)
순두부찌개
감자채볶음
미역초무침
쌀밥/깍두기","경상도고깃국(우육:호주산)
미트볼조림(돈육:미국산)
새송이탕수
얼갈이나물
쌀밥/깍두기","돈육고추장볶음(돈육:미국산)
솎음배추국
숙주나물
파래무무침
쌀밥/배추김치"
679Kcal,694Kcal,637Kcal,607Kcal,703Kcal,700Kcal,644Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"꽈배기도너츠
감자튀김
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","참치채소죽
환어묵곤약조림
무말랭이무침
양배추샐러드
씨리얼/우유/과일","모닝빵*딸기잼
데친후랑크소시지(돈육:수입산
국내산
계육:국내산)
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","모닝빵*딸기잼
크로켓*케찹
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
688Kcal,622Kcal,670Kcal,612Kcal,645Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"제육불고기비빔밥(돈육:미국산)
유부장국
게맛살튀김
마카로니샐러드
배추김치","순대채소볶음
쇠고기미역국(우육:호주산)
옥수수전
치커리생채
쌀밥/배추김치","유자향돈육불고기(돈육:미국산)
시금치국
양배추쌈*쌈장
무초절임
쌀밥/배추김치","사골곰탕*소면사리(우육:호주산)
두부양념조림
김치전
무말랭이무침
쌀밥/배추김치","*추억의도시락*어묵볶음
김치볶음
멸치볶음
알찬소시지전
쌀밥/유부장국
양배추샐러드","떡국
돈육김치볶음(돈육:미국산)
건파래볶음
야채전
쌀밥/깍두기",
704Kcal,748Kcal,740Kcal,700Kcal,678Kcal,761Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"치킨가스(계육:국내산)
크림스프
감자튀김*케찹
야채볶음밥
단무지","자장면(돈육:미국산)
짬뽕국
물만두찜
단무지","김치볶음밥*어묵국
고구마맛탕
콘샐러드
단무지","참치마요덮밥
유부장국
만두튀김
단무지","마파두부덮밥(돈육:국내산)
맑은장국
탕수육(돈육
계육:국내산)
짜사이채무침",,"굴소스잡채덮밥*꽃빵
맑은장국
군만두*간장
배추김치"
730Kcal,794Kcal,761Kcal,761Kcal,677Kcal,0Kcal,731Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
