■생활관식당(블루미르308관)
2017년 01월 23일 ~ 2017년 01월 29일
주간식단표
구분,월요일(01/23),화요일(01/24),수요일(01/25),목요일(01/26),금요일(01/27),토요일(01/28),일요일(01/29)
조식,한식,"얼큰오징어무국(오징어:국내산)
동그랑땡(돈육
계육:국내산)
미역줄기볶음
톳양파무침
쌀밥/배추김치","쇠고기당면국(우육:호주산)
꽁치강정
청포묵김가루무침
콩나물겨자채
쌀밥/깍두기","새우동그랑땡(수입산)
배추된장국
호박볶음
오리엔탈치커리무침
쌀밥/배추김치","참치김치찌개
두부구이*양념장
건파래자반
고추지무침
쌀밥/깍두기","북어채해장국
떡갈비조림(돈육:국내산)
매운어묵볶음
시금치나물
쌀밥/깍두기",,
701Kcal,689Kcal,731Kcal,616Kcal,679Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
양식,"건포도머핀
망고맛젤리
크림스프
양배추샐러드
무비프피클
씨리얼/우유/과일","닭죽(계육:국내산)
환어묵조림
무말랭이무침
양배추샐러드
씨리얼/우유/과일","햄치즈샌드위치
크림스프
무비트피클
양배추샐러드
씨리얼/우유/과일","모닝빵*딸기잼
감자튀김
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,,
662Kcal,612Kcal,620Kcal,670Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
중식,한식,"돈육고추장볶음(돈육:미국산)
미역국
알배기배추*쌈장
무초절임
쌀밥/배추김치","단호박닭찜(계육:브라질산)
배추국
파래전
무생채
쌀밥/배추김치","순두부찌개
후랑크소시지볶음(돈육:수입산
국내산
계육:국내산)
만두강정
매운미역초무침
쌀밥/깍두기","설렁탕*소면사리(우육:호주산
우사골
농축액:호주산)
야채전
마늘쫑멸치볶음
도토리묵*양념장
쌀밥/깍두기","육개장*당면사리(우육:호주산)
두부찜*양념장
연근조림
고춧잎무침
쌀밥/깍두기",,"떡국
돈육고추장볶음(돈육:미국산)
채소잡채
깻잎지무침
쌀밥/배추김치"
678Kcal,672Kcal,699Kcal,704Kcal,612Kcal,0Kcal,669Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,"등심돈까스(돈육:국내산)
완두콩스프
야채볶음밥
감자튀김*케찹
오이피클","떡갈비마요덮밥(돈육:국내산)
유부장국
양파링튀김*케찹
배추김치","닭갈비덮밥(계육:브라질산)
미소장국
두부탕수
단무지","짬뽕
쌀밥(소)
군만두*간장
단무지",,,
770Kcal,710Kcal,672Kcal,722Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
특식,특식,"(뚝)장조림버터밥(돈육:국내산)
유부장국
양배추콘샐러드
배추김치","(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산)
마늘종멸치볶음
파래무침
쌀밥/깍두기","(뚝)새우튀김우동
유부초밥(2)
마카로니샐러드
락교&단무지","투움바파스타(베이컨-돈육:수입산)
감자튀김
오이피클
탄산",,,
731Kcal,734Kcal,677Kcal,740Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원,         0원
석식,한식,"물만두국
미트볼조림(돈육:국내산)
꽈리고추어묵볶음
마늘쫑지
쌀밥/배추김치","어묵김치찌개
비엔나브로컬리볶음(계육:국내산
돈육:외국산국내산)
쑥갓두부무침
파래김구이
쌀밥/깍두기","오징어콩나물비빔밥(오징어:국내산
칠레산)
팽이버섯장국
궁중떡볶이
무짠지절임
배추김치","돈육떡볶음(돈육:미국산)
얼갈이국
시래기된장나물
무생채
쌀밥/배추김치",,,"너비아니마요덮밥(돈육
계육:국내산)
미소장국
단호박맛탕
배추김치"
714Kcal,711Kcal,700Kcal,703Kcal,0Kcal,0Kcal,700Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,"     2,800원"
양식,"잔치국수
김가루양념밥
핫도그*케찹(돈육
계육:국내산)
배추김치","불고기볶음밥(우육:호주산)
미소장국
야채춘권
단무지","함박스테이크(계육
돈육:국내산)
크림스프
감자채튀김
오이피클
야채볶음밥","카레라이스
유부장국
청파래오징어까스(중국산)
배추김치",,,
755Kcal,713Kcal,726Kcal,734Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
