■생활관식당(블루미르308관)
2017년 01월 02일 ~ 2017년 01월 08일
주간식단표
구분,월요일(01/02),화요일(01/03),수요일(01/04),목요일(01/05),금요일(01/06),토요일(01/07),일요일(01/08)
조식,한식,"북어채국
완자전(계육
돈육:국내산)
건파래볶음
얼갈이된장나물
쌀밥/깍두기","고추장찌개
고기산적조림(돈육
계육:국내산)
시래기지짐
양념깻잎지
쌀밥/배추김치","우거지해장국(우육:호주산)
두부양념조림
연근조림
명엽채볶음
쌀밥/깍두기","참치김치찌개
홈소시지전
호박볶음
도시락김
쌀밥/깍두기","미트볼조림(돈육:국내산)
김치해장국
감자채복음
치커리생채
쌀밥/깍두기","햄모듬찌개(돈육:수입산
국내산
계육:국내산)
꽁치튀김
열무나물
도토리묵*양념장

쌀밥/깍두기","너비아니엿장조림(돈육
계육:국내산)
콩나물국
잡채
무말랭이무침
쌀밥/배추김치"
657Kcal,732Kcal,678Kcal,644Kcal,674Kcal,697Kcal,701Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모듬야채죽
어묵볶음
양배추샐러드
무말랭이무침
씨리얼/우유/과일","참치샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","시나몬토스트
감자튀김
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","모닝빵샌드위치
스크램블에그
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","단호박죽
다시마튀각
양배추샐러드
씨리얼/우유/과일
배추김치",,
667Kcal,612Kcal,613Kcal,637Kcal,613Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"육개장*당면사리(우육:호주산)
만두탕수
미역줄기볶음
열무생채
쌀밥/깍두기","맑은홍합국
제육야채볶음(돈육:미국산)
두부구이
오복지무침
쌀밥/배추김치","해물순두부찌개
떡갈비조림(돈육:국내산)
어묵잡채
콩나물무침
쌀밥/깍두기","장터국밥(우육:호주산)
두부강정
오징어무침(오징어:칠레산
국내산)
청경채겉절이

쌀밥/깍두기","안동찜닭*당면사리(계육:브라질산)
콩나물국
새송이맛살볶음
마카로니샐러드
쌀밥/배추김치","닭개장*당면사리(계육:국내산)
후랑크소시지볶음(돈육:수입산
국내산
계육:국내산)
어묵볶음
미역오이초무침
쌀밥/깍두기",
667Kcal,716Kcal,712Kcal,699Kcal,652Kcal,712Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"등심돈까스&데미s(돈육:국내산)
야채볶음밥
크루통스프
감자튀김&케찹
오이피클","스팸마요덮밥(돈육:수입산)
팽이버섯장국
단호박튀김
배추김치","칼국수*양념장
미니열무보리밥
만두찜*간장
배추김치","치킨마요덮밥(계육:국내산)
맑은우동국물
떡강정
오이피클","쫄면
어묵국
김말이튀김
김가루양념밥
단무지",,"치킨가스(계육:국내산)
크림스프
감자튀김
채소볶음밥
오이피클"
744Kcal,734Kcal,732Kcal,711Kcal,732Kcal,0Kcal,713Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
특식,특식,"(뚝)돈육김치찌개(돈육:미국산)
야채춘권
열무생채
쌀밥*김가루*깍두기","(뚝)돈등뼈감자탕*수제비사리(돈목뼈:캐나다산)
연두부*양념장
오이맛고추무침
쌀밥/깍두기","(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산)
꼬마돈까스(계육
돈육:국내산)
청포묵김가루무침
쌀밥/깍두기","(뚝)김치날치알밥
미니우동
락교*초생강","(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산)*치즈사리
황도샐러드
쌀밥/깍두기",,
751Kcal,754Kcal,788Kcal,725Kcal,689Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
석식,한식,"꽁치양념강정
어묵국
소면야채무침
다시마쌈*초장
쌀밥/배추김치","만두김치찌개
비엔나소시지볶음(계육:국내산
돈육:외국산
국내산)
야채전
고추지무침
쌀밥/깍두기","닭갈비비빔밥(계육:브라질산)
유부장국
사모사튀김
천사채샐러드
배추김치","돈육굴소스볶음(돈육:미국산)
수제비국
마늘쫑멸치볶음
콩자반
쌀밥/배추김치","고등어무조림(고등어:국내산)
배추된장국
숙주나물
두부찜
쌀밥/배추김치",,"돈육두루치기(돈육:미국산)
조랭이미역국
양배추쌈*쌈장
와사비무초절임
쌀밥/배추김치"
689Kcal,710Kcal,703Kcal,743Kcal,701Kcal,0Kcal,685Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
