■생활관식당(블루미르308관)
2017년 02월 06일 ~ 2017년 02월 12일
주간식단표
구분,월요일(02/06),화요일(02/07),수요일(02/08),목요일(02/09),금요일(02/10),토요일(02/11),일요일(02/12)
조식,한식,"김치콩나물국
새우동그랑땡(중국산)
연근땅콩조림
쫑상추들깨무침
쌀밥/깍두기","수제비국
고기산적조림(돈육
계육:국내산)
명엽채볶음
얼갈이된장나물
쌀밥/깍두기","고등어조림(고등어:국내산)
배추국
연두부*양념장
깐마늘지
쌀밥/배추김치","북어채매운국
치킨너겟(계육:국내산)
고구마순볶음
고추지무침
쌀밥/배추김치","닭고기떡조림(계육:브라질산)
무들깨국
맛느타리버섯볶음
쑥갓오이겉절이
쌀밥/배추김치","떡국
바베큐바조림(돈육
계육:국내산)
새송이굴소스볶음
다시마쌈&초장
쌀밥/배추김치","장터국밥(우육:호주산)
완자전(돈육
계육:국내산)
알감자조림
미역초고추장무침
쌀밥/깍두기"
677Kcal,691Kcal,632Kcal,670Kcal,675Kcal,697Kcal,690Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝빵*딸기잼
감자튀김
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵볶음
무말랭이무침
양배추샐러드
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","참치야채죽
삶은계란*소금
무말랭이무침
양배추샐러드
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
634Kcal,613Kcal,677Kcal,639Kcal,637Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"닭개장(계육:국내산)
두부구이*양념장
환어묵조림
부추생채
쌀밥/깍두기","콩비지찌개(콩비지-콩:수입산)
꼬마돈까스튀김(돈육
계육:국내산)
잡채
해초샐러드
쌀밥/깍두기","제육고추장볶음(돈육:미국산)
콩나물국
야채전
시금치나물
쌀밥/배추김치","참치김치찌개
비엔나브로컬리볶음(계육:국내산
돈육:외국산
국내산)
쑥갓두부무침
마늘쫑멸치볶음
쌀밥/깍두기","햄모듬찌개(돈육:수입산
국내산
계육:국내산)
소면야채무침
만두탕수
실곤약겨자냉채
쌀밥/깍두기","돈육채소비빔밥(돈육:미국산)
배추국
고구마맛탕
쌀밥/배추김치","사골곰탕*소면사리(우육:호주산)
오징어무무침
메밀배추전
브로컬리*초장
쌀밥/깍두기"
702Kcal,711Kcal,699Kcal,713Kcal,709Kcal,718Kcal,725Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스마요덮밥(돈육:국내산)
유부장국
떡강정
모듬야채피클","잔치국수
김가루양념밥
물만두찜*간장
배추겉절이(배추:국내산
고추가루:중국산)","토마토소스스파게티
수제마늘빵
감자튀김
탄산음료","볶음우동
김가루양념밥
미소장국
야채크로켓
단무지","중국식잡채덮밥
계란파국
채소춘권*간장
단무지",,
716Kcal,730Kcal,707Kcal,728Kcal,728Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"새우튀김오므라이스
유부장국
누룽지샐러드
모듬야채피클","(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산)
비빔채소만두
콩나물무침
쌀밥/깍두기","(뚝)김치날치알밥
미니우동
락교*단무지","(뚝)돈육불고기(돈육:미국산)
옥수수전
알배기배추쌈*쌈장
쌀밥/배추김치","매콤야채쫄면
어묵국
김가루양념밥
군만두튀김*간장
단무지",,
742Kcal,727Kcal,733Kcal,730Kcal,767Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
