■생활관식당(블루미르308관)
2017년 02월 13일 ~ 2017년 02월 19일
주간식단표
구분,월요일(02/13),화요일(02/14),수요일(02/15),목요일(02/16),금요일(02/17),토요일(02/18),일요일(02/19)
조식,한식,"두부김치찌개
알찬소시지전
마늘종멸치볶음
파래김구이
쌀밥/깍두기","비엔나소시지케찹볶음(계육:국내산
돈육:외국산
국내산)
열무된장국
브로컬리*초장
청포묵김가루무침
쌀밥/배추김치","북어해장국
미트볼조림(돈육:국내산)
주키니호박볶음
고추지무침
쌀밥/배추김치","꽁치튀김*와사비장
배추된장국
소면야채무침
무나물
쌀밥/배추김치","순두부찌개
후랑크소시지채소볶음(돈육:수입산
국내산
계육:국내산)
건파래볶음
얼갈이된장나물
쌀밥/깍두기",,
691Kcal,698Kcal,680Kcal,670Kcal,681Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
양식,"건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","햄치즈샌드위치(돈육:수입산
국내산
계육:국내산)
크림스프
무비트피클
양배추샐러드
씨리얼/우유/과일","꽈배기도너츠
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵볶음
양배추샐러드
씨리얼/우유/과일
오징어젓무침","모닝빵*딸기잼
감자튀김
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
635Kcal,612Kcal,624Kcal,619Kcal,607Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"육개장*당면사리(우육:호주산)
어묵채볶음
참치채소전
치커리생채
쌀밥/깍두기","돈육고추장볶음(돈육:미국산)
미역국
알배기배추쌈*쌈장
콩나물무침
쌀밥/배추김치","닭곰탕*소면사리(대닭:국내산)
생선까스(중국산)
도토리묵*양념장
마늘쫑장아찌
쌀밥/깍두기","*옛날도시락*어묵볶음
소시지전
볶음김치
마늘쫑멸치볶음
쌀밥/유부장국
양배추샐러드","닭갈비비빔밥(계육:브라질산)
미역장국
야채춘권
삼색겨자냉채
배추김치",,
702Kcal,699Kcal,725Kcal,752Kcal,706Kcal,0Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
양식,"베이컨김치볶음밥(베이컨-돈육:미국산)
맑은우동국
야채크로켓*케찹
콘샐러드
단무지","비빔쫄면
김가루양념밥
유부장국
만두탕수
단무지","떡갈비마요덮밥(돈육:국내산)
일식장국
고구마맛탕
배추김치","아라비아따스파게티
감자튀김*케찹
오이피클
탄산음료","카레돈가스덮밥(돈육:국내산)
팽이버섯장국
양배추샐러드
단무지",,
753Kcal,700Kcal,749Kcal,711Kcal,737Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:30, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"(뚝)닭볶음탕*떡사리(계육:브라질산)
다시마쌈&초장
숙주나물무침
쌀밥/배추김치","(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산)
연두부*양념장
깐마늘지
쌀밥/깍두기","(뚝)김치날치알밥
미소장국
수제야채튀김
락교*단무지","(뚝)돈등뼈감자탕*수제비사리(돈목뼈:캐나다산)
두부찜*양념장
도시락김
쌀밥/깍두기","(뚝)새우튀김우동
유부초밥(2)
누룽지샐러드
락교*초생강절임",,
714Kcal,734Kcal,712Kcal,732Kcal,732Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:30, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"조랭이떡국
청파래오징어가스(중국산)
부추생채
콩자반
쌀밥/배추김치","참치김치찌개
잡채
옥수수전
시래기된장지짐
쌀밥/깍두기","순대야채볶음
팽이버섯장국
어묵곤약조림
마카로니샐러드
쌀밥/깍두기","콩나물비빔밥*양념장
팽이버섯장국
너비아니엿장조림(돈육
계육:국내산)
매운미역무침
배추김치",,,
738Kcal,701Kcal,703Kcal,716Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
양식,"볶음우동
일식유부장국
교자만두튀김
푸실리샐러드
단무지","돈코츠라멘(돈삼겹:독일산
돈목뼈:캐나다산)
단무지
후식","김치잔치국수
김가루양념밥
핫도그*케찹(돈육
계육:국내산)
단무지","참치마요덮밥
유부장국
두부강정
단무지",,,
721Kcal,735Kcal,740Kcal,760Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
