■생활관식당(블루미르308관)
2017년 02월 20일 ~ 2017년 02월 26일
주간식단표
구분,월요일(02/20),화요일(02/21),수요일(02/22),목요일(02/23),금요일(02/24),토요일(02/25),일요일(02/26)
조식,한식,,,,,,,"제육불고기비빔밥(돈육:미국산)
배추된장국
게맛살튀김
푸실리샐러드
배추김치"
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,622Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :,11:30~13:00
         0원,         0원,         0원,         0원,         0원,         0원,"     2,800원"
양식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
중식,한식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
양식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
특식,특식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
석식,한식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
양식,,,,,,,"등심돈까스(돈육:국내산)
야채볶음밥
크림스프
감자튀김&케찹
단무지"
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,694Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :,17:30~18:30
         0원,         0원,         0원,         0원,         0원,         0원,"     2,800원"
간식,일품1,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,,
 :~ :, :~ :, :~ :, :~ :, :~ :,,
         0원,         0원,         0원,         0원,         0원,,
,일품2,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,,
 :~ :, :~ :, :~ :, :~ :, :~ :,,
         0원,         0원,         0원,         0원,         0원,,
일품3,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,,
 :~ :, :~ :, :~ :, :~ :, :~ :,,
         0원,         0원,         0원,         0원,         0원,,
일품4,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,,
 :~ :, :~ :, :~ :, :~ :, :~ :,,
         0원,         0원,         0원,         0원,         0원,,
공지사항,
