■생활관식당(블루미르308관)
2017년 01월 30일 ~ 2017년 02월 05일
주간식단표
구분,월요일(01/30),화요일(01/31),수요일(02/01),목요일(02/02),금요일(02/03),토요일(02/04),일요일(02/05)
조식,한식,"김치두부국
꼬마돈까스(돈육
계육:국내산)
명엽채볶음
브로컬리*초장
쌀밥/깍두기","순두부찌개
고기산적조림(돈육
계육:국내산)
게맛살채소볶음
깻잎지무침
쌀밥/깍두기","쇠고기된장찌개(우육:호주산)
햄채소볶음
무생채
두부쑥갓무침
쌀밥/깍두기","닭계장(계육:국내산)
연두부*양념장
감자채볶음
삼색겨자냉채
쌀밥/깍두기","배추국
새우완자전(수입산)
주키니호박볶음
콩나물겨자무침
쌀밥/배추김치","쇠고기미역국(우육:호주산)
소시지야채볶음(돈육:수입산
국내산
계육:국내산)
어묵마늘쫑볶음
무말랭이무침
쌀밥/배추김치","참치김치찌개
완자전(돈육
계육:국내산)
건파래볶음
다시마숙회*초장
쌀밥/무생채"
634Kcal,607Kcal,671Kcal,681Kcal,700Kcal,677Kcal,639Kcal
08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,"소고기죽(우육:호주산)
오징어젓무생채
양배추샐러드
배추김치
씨리얼/우유/과일","핫케익*단호박조림
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","모닝빵*딸기잼
삶은계란
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","참치샐러드샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
0Kcal,681Kcal,633Kcal,615Kcal,638Kcal,0Kcal,0Kcal
 :~ :,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
         0원,"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"나물된장비빔밥*후라이
미역국
누룽지샐러드
배추김치","제육두루치기(돈육:미국산)
아욱된장국
양배추쌈*쌈장
와사비무초절임
쌀밥/배추김치","장터국밥(우육:호주산)
두부구이*양념장
느타리미역줄기볶음
오이맛고추무침
쌀밥/깍두기","닭갈비(계육:브라질산)
콩나물국
환어묵탕수
파래김구이
쌀밥/배추김치","떡갈비조림(돈육:국내산)
북어해장국
두부찜*양념장
치커리오이엔탈생채
쌀밥/배추김치","순두부찌개
너비아니엿장조림(돈육
계육:국내산)
멸치볶음
게맛살냉채
쌀밥/깍두기",
703Kcal,730Kcal,745Kcal,736Kcal,761Kcal,727Kcal,0Kcal
11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
,양식,,"오로시가스(돈육:국내산)
팽이버섯장국
떡강정
단무지","김치볶음밥
어묵국
물만두찜*간장
단무지","칼국수
미니열무비빔밥
도토리묵무침
얼갈이겉절이(배추:국내산
고추가루:중국산)","스팸마요덮밥(돈육:수입산)
일식장국
단호박구이
배추김치",,"자장덮밥
짬뽕국
만두튀김
단무지"
0Kcal,714Kcal,712Kcal,745Kcal,710Kcal,0Kcal,721Kcal
 :~ :,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :,11:30~13:00
         0원,"     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
특식,특식,,"(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산)
만두튀김
콩자반
쌀밥/깍두기","(뚝)돌솥비빔밥*계란후라이
유부장국
마카로니샐러드
배추김치","(뚝)김치날치알밥
미소장국
춘권
락교*단무지","(뚝)꼬치어묵우동
김가루양념밥
야채튀김
락교*초생강",,
0Kcal,762Kcal,731Kcal,711Kcal,732Kcal,0Kcal,0Kcal
 :~ :,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
         0원,"     3,200원","     3,200원","     3,200원","     2,800원",         0원,         0원
석식,한식,"닭곰탕*소면사리(계육:국내산)
김치전
어묵볶음
고추지무침
쌀밥/깍두기","콩나물밥*양념장
두부김치국
청파래오징어까스(중국산)
마늘쫑멸치볶음
배추김치","수제비국
미트볼조림(돈육:국내산)
잡채
양파초절임
쌀밥/배추김치","돈육불고기덮밥(돈육:미국산)
유부장국
단호박튀김
단무지","사골우거지탕(우육:호주산)
비엔나케찹볶음(계육:수입산
돈육:외국산
국내산)
야채전
미역초고추장무침
쌀밥/깍두기",,"참치채소비빔밥
미소장국
고구마맛탕
푸실리샐러드
배추김치"
714Kcal,711Kcal,693Kcal,707Kcal,740Kcal,0Kcal,700Kcal
17:30~18:30,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,,"로제스파게티(베이컨-돈육:수입산)
감자튀김*케찹
탄산음료
오이피클","카레볶음밥
미역장국
쫄면채소무침
푸실리샐러드
단무지","메밀소바
김가루양념밥
야채크로켓
오복지&단무지","함박스테이크(계육
돈육:국내산)
크림스프
김가루양념밥
감자튀김
단무지","돈가스김치덮밥(돈육:국내산)
장국
양배추샐러드
단무지",
0Kcal,709Kcal,647Kcal,713Kcal,709Kcal,709Kcal,0Kcal
 :~ :,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30, :~ :
         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
,일품3,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,식스팩샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
