■생활관식당(블루미르308관)
2017년 03월 06일 ~ 2017년 03월 12일
주간식단표
구분,월요일(03/06),화요일(03/07),수요일(03/08),목요일(03/09),금요일(03/10),토요일(03/11),일요일(03/12)
조식,한식,"미트볼조림(돈육:국내산)
조랭이떡국
잔멸치볶음
열무생채
쌀밥/배추김치","고등어무조림(고등어:국내산)
시금치국
파래자반
부추겉절이
쌀밥/배추김치","치킨너겟(계육:국내산)
얼큰김치콩나물국
연근조림
유채유자청무침
쌀밥/깍두기","닭야채떡볶음(계육:브라질산)
콩나물국
다시마튀각
시금치나물
쌀밥/배추김치","쇠고기미역국(우육:호주산)
두부조림
잡채
고추지
쌀밥/배추김치","순두부찌개
비엔나야채볶음(돈육:국내산
외국산
계육:국내산)
고구마순들깨볶음
고들빼기절임
쌀밥/깍두기","물만두국
새우동그랑땡
매운어묵조림
미역초고추장무침
쌀밥/배추김치"
660Kcal,670Kcal,700Kcal,677Kcal,678Kcal,690Kcal,638Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"건포도머핀
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","야채죽
메추리알조림
무말랭이무침
씨리얼/우유/과일","길거리토스트
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","참치야채샌드위치
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵볶음
무말랭이무침
씨리얼/우유/과일",,
625Kcal,631Kcal,610Kcal,610Kcal,610Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"사천식돈육볶음(돈육:미국산)
배추된장국
옥수수전
해초샐러드
쌀밥/배추김치","닭곰탕&소면사리(계육:국내산)
꼬마돈까스튀김(돈육
계육:국내산)
연두부*양념장
깐마늘지절임
쌀밥/깍두기","사골우거지국(우육:호주산)
고기산적조림(돈육
계육:국내산)
청포묵김가루무침
브로컬리&초장
쌀밥/깍두기","돈육김치볶음(돈육:미국산)
들깨미역국
메추리알조림
시래기된장지짐
쌀밥/깍두기","햄모듬찌개(돈육:수입산
국내산
계육:국내산)
만두탕수
삼색겨자냉채
구이김
쌀밥/깍두기","콩나물밥*양념장
미소장국
청파래오징어가스(중국산)
홈소시지전*케찹
배추김치","돈육고추장볶음(돈육:미국산)
콩나물국
배추쌈*쌈장
무초절임
쌀밥/배추김치"
700Kcal,735Kcal,699Kcal,711Kcal,700Kcal,712Kcal,703Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"냉메밀소바
김가루양념밥
야채춘권
락교&오복지","오로시가스(돈육:미국산)
유부장국
푸실리샐러드
단무지","칼국수&부추양념장
미니열무비빔밥
물만두찜
배추겉절이(배추:국내산
고추가루:중국산)","*NEW*규동(우육:호주산)
팽이버섯장국
누룽지샐러드
배추김치","떡갈비마요덮밥(돈육:국내산)
유부장국
양파링튀김*케찹
단무지","크림소스스파게티(베이컨:돈육-수입산)
마늘바게트
오이피클
탄산음료","닭갈비덮밥(계육:브라질산)
맑은우동국물
고구마맛탕
단무지"
720Kcal,731Kcal,710Kcal,709Kcal,761Kcal,737Kcal,742Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)돌솥비빔밥*계란후라이
배추된장국
과일샐러드
배추김치","(뚝)부대찌개&라면사리(돈육:수입산
국내산
계육:국내산)
환어묵탕수
콩나물겨자냉채
쌀밥/깍두기","(뚝)장조림버터밥(돈육:국내산)
맑은장국
콘샐러드
배추김치","새우튀김오므라이스
콩나물국
황도샐러드
단무지","쫄가스(쫄면&돈까스)(돈육:국내산)
유부장국
김가루양념밥
단무지",,
717Kcal,751Kcal,722Kcal,734Kcal,706Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"오징어야채비빔밥(오징어:칠레산)
미소장국
야채크로켓
마카로니샐러드
배추김치","수제비국
떡갈비조림(돈육:국내산)
느타리미역줄기볶음
오이맛고추무침
쌀밥/배추김치","참치김치찌개
햄전*케찹(돈육:수입산
국내산
계육:국내산)
마늘쫑멸치볶음
숙주미나리무침
쌀밥/깍두기","쇠고기당면국(우육:호주산)
완자전(계육
돈육:국내산)
우엉땅콩조림
무말랭이무침
쌀밥/배추김치","단호박영양밥*양념장
근대된장국
두부강정
맛살팽이버섯볶음
깻잎지무침
배추김치","불닭떡볶음(계육:브라질산)
어묵국
도토리묵*양념장
실곤약샐러드
쌀밥/배추김치","꽁치무조림
열무된장국
두부구이*양념장
쑥갓무침
쌀밥/배추김치"
