■생활관식당(블루미르308관)
2017년 03월 13일 ~ 2017년 03월 19일
주간식단표
구분,월요일(03/13),화요일(03/14),수요일(03/15),목요일(03/16),금요일(03/17),토요일(03/18),일요일(03/19)
조식,한식,"참치김치볶음*두부찜
시금치된장국
명엽채볶음
쌀밥/깍두기","북어국
완자파인애플조림(계육
돈육:국내산)
들깨무나물
고춧잎무침
쌀밥/깍두기","햄모듬찌개(돈육:외국산
국내산
계육:국내산)
환어묵조림
호박볶음
게맛살냉채
쌀밥/깍두기","오징어떡볶음(오징어:칠레산)
얼갈이국
시래기된장지짐
다시마튀각
쌀밥/배추김치","호박고추장찌개
고기산적조림(돈육
계육:국내산)
브로컬리*초장
콩나물무침
쌀밥/깍두기","버섯된장찌개
메추리알곤약조림
감자채볶음
상추겉절이
쌀밥/깍두기","굴소스닭볶음(계육:브라질산)
콩나물국
두부쑥갓무침
청경채겉절이
쌀밥/깍두기"
612Kcal,678Kcal,644Kcal,637Kcal,637Kcal,700Kcal,712Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝빵*딸기잼
감자튀김
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박죽
사각어묵볶음
무말랭이무침
씨리얼/우유/과일","꽈배기도너츠
삶은계란*소금
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","견과류핫케익
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일","팥죽
무말랭이무침
씨리얼/우유/과일
배추김치",,
633Kcal,631Kcal,630Kcal,601Kcal,611Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"닭개장(계육:국내산)
버섯탕수
마늘쫑어묵볶음
다시마튀각
쌀밥/깍두기","고등어조림(고등어:국내산)
미역국
야채전
미역줄기볶음
쌀밥/배추김치","안동찜닭*당면사리(계육:브라질산)
배추된장국
두부구이
마카로니샐러드
쌀밥/배추김치","돈육숙주볶음(돈육:미국산)
김치국
감자곤약조림
깻잎지무침
쌀밥/배추김치","*추억의도시락*알찬소시지전
멸치볶음
건파래볶음
볶음김치
장국/양배추샐러드","만두김치찌개
동그랑땡(계육
돈육:국내산)
호박볶음
파래김구이
쌀밥/깍두기","우거지해장국(우육:호주산)
후랑크야채볶음(돈육:외국산
국내산
계육:국내산)
건새우무조림
해초샐러드
쌀밥/깍두기"
702Kcal,679Kcal,702Kcal,715Kcal,678Kcal,699Kcal,744Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"카레라이스
어묵국
미니돈까스*케찹(돈육
계육:국내산)
배추김치","참치마요덮밥
유부장국
비엔나핫도그(돈육
계육:국내산)
단무지","유부어묵우동
김가루양념밥
타코야끼
단무지","아라비아따스파게티
모닝빵*딸기잼
오이피클
탄산음료","볶음밥*짜장소스
미역장국
탕수육(돈육
계육:국내산)
단무지","함박스테이크(계육
돈육:국내산)
야채볶음밥
크림스프
감자튀김
오이피클","참치김치덮밥
계란파국
핫도그*케찹(돈육
계육:국내산)
단무지"
734Kcal,700Kcal,730Kcal,731Kcal,750Kcal,732Kcal,723Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)날치뚝배기알밥&미니우동
락교&단무지","매콤소시지검보(돈육:외국산
국내산)
유부장국
양배추샐러드
배추김치","(뚝)부대찌개*라면사리*치즈사리(돈육:수입산
국내산
계육:국내산)
과일샐러드
쌀밥/깍두기","7분김치찌개(돈육:미국산)*김가루
왕만두찜
숙주나물
쌀밥/깍두기","*NEW*(뚝)닭갈비비빔밥(계육:브라질산)
미역장국
연두부*양념장
마카로니샐러드
배추김치",,
712Kcal,699Kcal,740Kcal,707Kcal,711Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
