■생활관식당(블루미르308관)
2017년 03월 20일 ~ 2017년 03월 26일
주간식단표
구분,월요일(03/20),화요일(03/21),수요일(03/22),목요일(03/23),금요일(03/24),토요일(03/25),일요일(03/26)
조식,한식,"김치해장국
비엔나야채조림(돈육:외국산
국내산
계육:국내산)
명엽채볶음
양념깻잎지
쌀밥/깍두기","고등어무조림(고등어:국내산)
미역국
사각어묵볶음
열무생채
쌀밥/배추김치","수제비국
메추리알꽈리고추조림
맛느타리버섯볶음
돌나물초고추장무침
쌀밥/배추김치","쇠고기무국(우육:호주산)
잡채
마늘쫑멸치볶음
고추지무침
쌀밥/깍두기","어묵국
햄전(돈육:외국산
국내산
계육:국내산)
시래기지짐
상추겉절이
쌀밥/배추김치","돈육고추장볶음(돈육:미국산)
김치국
양배추쌈*쌈장
오이지무침
쌀밥/깍두기","북어해장국
계란찜
무말랭이무침
환어묵볶음
쌀밥/배추김치"
621Kcal,680Kcal,700Kcal,685Kcal,699Kcal,710Kcal,617Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"건포도머핀
당근스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵볶음
동치미
씨리얼/우유/과일","길거리샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치샌드위치
브로컬리스프
양배추샐러드
오이피클
씨리얼/우유/과일","소고기죽(우육:호주산)
어묵볶음
무말랭이무침
씨리얼/우유/과일",,
630Kcal,645Kcal,612Kcal,612Kcal,631Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
