■생활관식당(블루미르308관)
2017년 03월 27일 ~ 2017년 04월 02일
주간식단표
구분,월요일(03/27),화요일(03/28),수요일(03/29),목요일(03/30),금요일(03/31),토요일(04/01),일요일(04/02)
조식,한식,"갈치구이(모로코산)
배추된장국
파래자반
콩나물무침
쌀밥/깍두기","김치두부국
동그랑땡(돈육
계육:국내산)
맛느타리버섯볶음
깻잎지무침
쌀밥/깍두기","오징어무국(오징어:칠레산)
후랑크마늘쫑볶음(돈육:외국산
국내산
계육:국내산)
치커리무침
쌀밥/배추김치","돈육떡볶음(돈육:미국산)
미역국
연두부*양념장
깐마늘지
쌀밥/배추김치","치킨너겟(계육:국내산)
어묵국
잔멸치볶음
쫑상추겉절이
쌀밥/배추김치","경상도고깃국(우육:호주산)
떡갈비조림(돈육:국내산)
청포묵*양념장
구이김
쌀밥/깍두기","고등어무조림(고등어:국내산)
김치국
두부찜
구이김
쌀밥/배추김치"
612Kcal,670Kcal,700Kcal,687Kcal,688Kcal,611Kcal,657Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"꽈배기도너츠
브로컬리스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치야채죽
진미채양배추초무침
열무된장나물
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","모닝빵샌드위치
감자튀김
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
사각어묵볶음
부추무침
양배추샐러드
씨리얼/우유/과일",,
644Kcal,612Kcal,634Kcal,627Kcal,629Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"취나물밥*양념장
꼬마돈까스튀김(돈육
계육:국내산)
시래기된장나물
콘샐러드
배추김치","고등어김치무조림(고등어:국내산)
콩나물국
두부쑥갓무침
파래김구이
쌀밥/배추김치","돈육고추장볶음(돈육:미국산)
봄동콩나물국
사각어묵볶음
무초절임
쌀밥/배추김치","순두부찌개
미트볼야채조림(돈육:국내산)
미역줄기볶음
명엽채무침
쌀밥/깍두기","사골우거지국(우육:호주산)
비엔나야채조림(계육:국내산
돈육:외국산
국내산)
새송이굴소스볶음
다시마채*초장
쌀밥/깍두기","돈육고추장볶음(돈육:미국산)
미역국
양배추쌈*쌈장
무초절임
쌀밥/배추김치","사골곰탕(우육:호주산)
오징어무무침(오징어:칠레산)
야채전
고추지무침
쌀밥/깍두기"
712Kcal,750Kcal,748Kcal,700Kcal,760Kcal,699Kcal,712Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"치킨마요덮밥(계육:국내산)
미소장국
식빵러스크
단무지","가츠돈(돈육:국내산)
유부장국
마카로니샐러드
오복지무침","야채볶음밥*자장소스
짬뽕국
만두탕수
단무지","햄김치덮밥(돈육:외국산
국내산
계육:국내산)
맑은우동국물
왕꼬치구이(돈육
계육:국내산)
단무지","마파두부덮밥(돈육:국내산)
팽이버섯장국
탕수육(돈육
계육:국내산)
단무지","함박스테이크(계육
돈육:국내산)
야채볶음밥
당근스프
양배추샐러드
오이피클","유부우동
후리가케양념밥
야채크로켓*케찹
단무지"
