■생활관식당(블루미르308관)
2017년 02월 27일 ~ 2017년 03월 05일
주간식단표
구분,월요일(02/27),화요일(02/28),수요일(03/01),목요일(03/02),금요일(03/03),토요일(03/04),일요일(03/05)
조식,한식,"북어해장국
고기산적조림(돈육
계육:국내산)
어묵볶음
무생채
쌀밥/배추김치","꽁치강정
배추된장국
김구이
도토리묵*양념장
쌀밥/배추김치","매운쇠고기무국(우육:호주산)
비엔나야채조림(돈육:수입산
국내산
계육:국내산)
느타리야채볶음
깻잎절임
쌀밥/깍두기","김치콩나물국
알찬소시지전*케찹
건새우무조림
돌나물*초장
쌀밥/깍두기","햄구이(돈육:수입산
국내산
계육:국내산)
두부고추장찌개
시금치나물
건파래볶음
쌀밥/배추김치","참치김치찌개
새우완자전
고구마순들깨나물
브로컬리숙회*초장
쌀밥/배추김치","떡갈비조림(돈육:국내산)
어묵국
청포묵김가루무침
숙주나물
쌀밥/깍두기"
660Kcal,676Kcal,689Kcal,624Kcal,607Kcal,632Kcal,680Kcal
07:00~08:40,07:00~08:40,08:00~09:00,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝빵*딸기잼
감자튀김
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
오징어젓무침(오징어:국내산)
양배추샐러드
배추김치
씨리얼/우유/과일",,"참치채소죽
어묵볶음
무말랭이무침
배추김치
씨리얼/우유/과일","견과류핫케익
크림스프
양배추샐러드
무비트피클
씨리얼/우유/과일",,
625Kcal,637Kcal,0Kcal,638Kcal,612Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40, :~ :,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원",         0원,"     2,800원","     2,800원",         0원,         0원
중식,한식,"춘천닭갈비(계육:브라질산)미역국
연두부*양념장
콩나물무침
쌀밥/배추김치","나물된장비빔밥*계란후라이
팽이버섯장국
마카로니콘샐러드
배추김치","떡만두국
오징어무무침(오징어:칠레산)
고추장떡
단배추나물
쌀밥/배추김치","육개장*당면사리(우육:호주산
농축액
우사골:호주산)
두부찜*간장
알감자떡조림
고추지양념무침
쌀밥/깍두기","돈육고추장볶음(돈육:미국산)
배추된장국
굴소스잡채
미역초무침
쌀밥/배추김치","설렁탕*소면사리(우육:호주산.우사골
농축액:호주산)
후랑크소시지볶음(돈육:수입산
국내산
계육:국내산)
야채전
깐마늘장아찌
쌀밥/깍두기","돈육김치볶음(돈육:미국산)
콩나물국
두부구이*양념
열무된장나물
쌀밥/깍두기"
760Kcal,713Kcal,699Kcal,725Kcal,710Kcal,708Kcal,728Kcal
11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"떡갈비마요덮밥(돈육:국내산)
미소장국
떡강정
단무지","잔치국수*양념장
김가루양념밥
수제야채튀김
단무지",,"양념치킨오므라이스(계육:브라질산)
미소장국
누룽지샐러드
단무지","*NEW*매콤숙주돈까스(돈육:국내산)
유부장국
김가루양념밥
감자볼튀김*케찹
단무지","자장덮밥
짬뽕국
군만두*간장
단무지","치킨마요덮밥(계육:국내산)
유부장국
콘샐러드
배추김치"
731Kcal,709Kcal,0Kcal,720Kcal,737Kcal,734Kcal,766Kcal
11:30~13:00,11:30~13:00, :~ :,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원",         0원,"     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산)
만두탕수
오이맛고추무침
쌀밥/깍두기","(뚝)돈육불고기(돈육:미국산)
양배추쌈*쌈장
와사비무초절임
쌀밥/배추김치",,"(뚝)꼬치어묵우동
김가루양념밥
야채춘권
락교&단무지","(뚝)부대찌개*라면사리(돈육:수입산
국내산
계육:국내산)*치즈사리
도시락김
황도샐러드
쌀밥/깍두기",,
660Kcal,715Kcal,0Kcal,744Kcal,752Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원",         0원,"     3,200원","     3,200원",         0원,         0원
석식,한식,"수제비국
너비아니엿장조림(돈육
계육:국내산)
김치전
실곤약겨자무침
쌀밥/배추김치","장터국밥(우육:호주산)
메추리알곤약장조림
양배추햄볶음(돈육:수입산
국내산
계육:국내산)
치커리겉절이
쌀밥/깍두기",,"순대채소볶음
미소장국
마늘쫑멸치볶음
다시마쌈&초장
쌀밥/배추김치","고등어무조림(고등어:국내산)
시금치된장국
어묵전*겨자장
파래김구이*양념장
쌀밥/배추김치","단호박닭조림(계육:브라질산)
얼갈이국
팽이버섯채소볶음
상추들깨겉절이
쌀밥/배추김치","참치생야채비빔밥
미역국
단호박맛탕
누룽지샐러드
배추김치"
750Kcal,754Kcal,0Kcal,730Kcal,741Kcal,732Kcal,741Kcal
17:30~19:00,17:30~19:00, :~ :,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원",         0원,"     2,800원","     2,800원","     2,800원","     2,800원"
