■생활관식당(블루미르308관)
2017년 04월 03일 ~ 2017년 04월 09일
주간식단표
구분,월요일(04/03),화요일(04/04),수요일(04/05),목요일(04/06),금요일(04/07),토요일(04/08),일요일(04/09)
조식,한식,"매운쇠고기무국(우육:호주산)
미트볼조림(돈육:국내산)
주키니호박볶음
마늘쫑지
쌀밥/배추김치","동태강정(동태:러시아산)
배추된장국
미역줄기볶음
고추지무침
쌀밥/배추김치","새우완자전
북어해장국
들깨고구마순나물
깻잎지무침
쌀밥/깍두기","김치해장국
햄전(돈육:외국산
국산
계육:국내산)
명엽채볶음
미역초무침
쌀밥/깍두기","꽁치무조림
고추장찌개
다시마튀각
쑥갓두부무침
쌀밥/배추김치","참치김치볶음
얼큰콩나물국
연두부*양념장
파래김구이
쌀밥/깍두기","사골물만두국(농축액
우사골:호주산)
동그랑땡(돈육
계육:국내산)
숙주나물
김구이
쌀밥/배추김치"
671Kcal,607Kcal,677Kcal,699Kcal,689Kcal,711Kcal,679Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"핫케익
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","야채죽
삶은계란*소금
무말랭이무침
씨리얼/우유/과일","꽈배기도너츠
당근스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치샌드위치
그린스프
양배추샐러드
오이피클
씨리얼/우유/과일","모닝빵*딸기잼
데친소시지(돈육:외국산
국산
계육:국산)
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
612Kcal,614Kcal,624Kcal,620Kcal,672Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"유자향돈육불고기(돈육:미국산)
미역국
맛느타리버섯볶음
무생채
쌀밥/배추김치","조랭이떡국
파인애플완자조림(돈육:국내산)
어묵잡채
부추생채
쌀밥/배추김치","순두부찌개
옛날소시지전*케찹
건파래자반
꽈리고추멸치볶음
쌀밥/깍두기","콩불*(콩나물불고기)(돈육:미국산)
시락국
파스타샐러드
무초절임
쌀밥/배추김치","만두육개장(우육:호주산)
새송이탕수
두부찜*양념장
해초샐러드
쌀밥/배추김치","닭곰탕*소면사리(계육:국내산)
두부무조림
환어묵볶음
얼갈이겉절이(배추:국내산
고추가루:중국산)
쌀밥/깍두기","사천식돈육숙주볶음(돈육:미국산)
시금치국
연근유자청조림
무생채
쌀밥/배추김치"
685Kcal,700Kcal,737Kcal,726Kcal,722Kcal,730Kcal,740Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"양지쌀국수(우육:호주산)
김가루양념밥
사모사튀김
양파초절임","*NEW오코노미돈가스(돈육:국내산)
팽이버섯장국
야채볶음밥
모닝빵*딸기잼
오이피클","너비아니마요덮밥(돈육
계육:국내산)
유부장국
단호박조림
단무지","카레돈가스덮밥(돈육:국내산)
팽이버섯장국
양배추샐러드
단무지","비빔국수
맑은우동국물
김가루양념밥
고구마맛탕
단무지","매콤오징어덮밥(오징어:칠레산)
유부장국
단호박튀김
단무지","토마토소스스파게티
마늘바게트
오이피클
탄산음료"
751Kcal,724Kcal,725Kcal,740Kcal,709Kcal,715Kcal,711Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"새우튀김오므라이스
미역국
푸실리샐러드
배추김치","(뚝)날치알비빔밥*잔치국수(소)
마카로니샐러드
락교&단무지","(뚝)돼지국밥(돈육:미국산)
김치전
쫑상추겉절이
쌀밥/깍두기","(뚝)부대찌개*라면사리(돈육:외국산
국산
계육:국내산)
만두탕수
도시락김
쌀밥/깍두기","7분김치찌개(돈육:미국산)*김가루
두부강정
콩나물무침
쌀밥/깍두기",,
750Kcal,760Kcal,719Kcal,755Kcal,761Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"장터국밥(우육:호주산)
비엔나야채볶음(돈육:국산
외국산
계육:국내산)
청포묵김가루무침
시금치나물
쌀밥/깍두기","제육야채볶음(돈육:미국산)
얼갈이국
양배추쌈*쌈장
해초샐러드
쌀밥/배추김치","우거지해장국(우육:호주산)
두부구이*양념장
우엉조림
브로컬리*초장
쌀밥/깍두기","오징어채소비빔밥(오징어:칠레산)
유부장국
연두부*양념장
열무된장무침
배추김치","고기산적조림(돈육
계육:국내산)
수제비국
마늘쫑멸치볶음
실곤약겨자무침
쌀밥/배추김치","콩나물밥*양념장
두부된장국
메추리알곤약조림
치커리생채
배추김치","매운떡갈비조림(돈육:국내산)
김치찌개
미역줄기볶음
옥수수전
쌀밥/깍두기"
774Kcal,712Kcal,709Kcal,734Kcal,730Kcal,700Kcal,720Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
