■생활관식당(블루미르308관)
2017년 04월 10일 ~ 2017년 04월 16일
주간식단표
구분,월요일(04/10),화요일(04/11),수요일(04/12),목요일(04/13),금요일(04/14),토요일(04/15),일요일(04/16)
조식,한식,"북어미역국
데리야끼고기산적조림(돈육
계육:국내산)
새송이야채볶음
열무생채
쌀밥/배추김치","매운쇠고기무국(우육:호주산)
미트볼조림(돈육:국내산)
느타리버섯볶음
부추생채
쌀밥/깍두기","꼬마돈까스튀김(돈육
계육:국내산)
고추장찌개
사각어묵볶음
마늘쫑지
쌀밥/깍두기","돈육떡장조림(돈육:국내산)
배추된장국
미역줄기볶음
꺳잎지무침
쌀밥/깍두기","고등어구이(고등어:국내산)
시금치된장국
진미채양배추무침
파래김구이
쌀밥/깍두기","김치해장국
비엔나조림(돈육:외국산
국산
계육:국산)
시금치나물
구이김
쌀밥/깍두기","햄모듬찌개(돈육:외국산
국산
계육:국내산)
고기산적조림(돈육
계육:국내산)
연두부*양념장
구이김
쌀밥/깍두기"
660Kcal,676Kcal,624Kcal,607Kcal,624Kcal,617Kcal,710Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"*NEW소시지프렌치토스트(돈육:외국산
국산
계육:국내산)
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","누룽지야채죽
메추리알곤약조림
무말랭이무침
씨리얼/우유/과일","모닝빵*딸기잼
감자튀김
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","시나몬러스크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
625Kcal,637Kcal,638Kcal,612Kcal,638Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"닭계장&당면사리(계육:국내산)
만두깐풍
옥수수전
삼색겨자냉채
쌀밥/깍두기","수제비국
미나리오징어무무침(오징어:칠레산)
환어묵조림
단배추나물
쌀밥/배추김치","제육야채볶음(돈육:미국산)
콩나물국
상추쌈*쌈장
무생채
쌀밥/배추김치","사골우거지탕(우육:호주산)
떡갈비조림(돈육:국내산)
버섯야채볶음
파래김구이
쌀밥/깍두기","오징어야채비빔밥(오징어:칠레산)
미역국
생선가스(중국산)
마카로니샐러드
배추김치","설렁탕*소면사리(우육:호주산)
김치전
도토리묵*양념장
메추리알조림
쌀밥/깍두기","제육비빔밥(돈육:미국산)
얼갈이된장국
만두튀김
해초샐러드
쌀밥/배추김치"
760Kcal,713Kcal,725Kcal,710Kcal,725Kcal,699Kcal,719Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"메밀소바
김가루양념밥
안흥찐빵(1)
락교*단무지","사천자장덮밥
유부장국
군만두*간장
단무지","치킨마요덮밥(계육:국내산)
미소장국
단호박조림
단무지","야채쫄면
어묵국
오징어링탕수(오징어:중국산)
김가루양념밥
단무지","*NEW미트볼커리라이스(돈육:국내산)
유부장국
쫄면야채무침
단무지","김치볶음밥*김가루
맑은우동국물
두부도너츠
단무지","참치마요덮밥
유부장국
핫도그(돈육
계육:국내산)
단무지"
731Kcal,709Kcal,720Kcal,737Kcal,720Kcal,721Kcal,750Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
