■생활관식당(블루미르308관)
2017년 04월 17일 ~ 2017년 04월 23일
주간식단표
구분,월요일(04/17),화요일(04/18),수요일(04/19),목요일(04/20),금요일(04/21),토요일(04/22),일요일(04/23)
조식,한식,"갈치튀김(모로코산)
김치두부국
콩나물무침
파래김구이
쌀밥/배추김치","황태국
너비아니엿장조림(돈육
계육:국내산)
옥수수전
열무생채
쌀밥/깍두기","두부된장찌개
참치김치볶음
연두부*양념장
들깨고구마순볶음
쌀밥/깍두기","오징어무국(오징어:칠레산)
새우전
새송이굴소스볶음
얼갈이된장나물
쌀밥/배추김치","치킨너겟(계육:국내산)
김치찌개
어묵볶음
해초샐러드
쌀밥/깍두기","시금치된장국
꽁치구이*와사비장
맛살채소볶음
구이김
쌀밥/배추김치","쇠고기무국(우육:호주산)
고기산적조림(돈육
계육:국내산)
마늘쫑지
구이김
쌀밥/깍두기"
678Kcal,676Kcal,612Kcal,688Kcal,670Kcal,632Kcal,700Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝빵샌드위치&감자튀김
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","핫케익
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","피자토스트(돈육:외국산
국산
계육:국산)
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
횐어묵매운조림
백나박김치(배추:국내산)
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
631Kcal,637Kcal,644Kcal,629Kcal,612Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
