■생활관식당(블루미르308관)
2017년 04월 24일 ~ 2017년 04월 30일
주간식단표
구분,월요일(04/24),화요일(04/25),수요일(04/26),목요일(04/27),금요일(04/28),토요일(04/29),일요일(04/30)
조식,한식,"동그랑땡전(돈육
계육:국내산)
김치해장국
무나물햄볶음(돈육:외국산
국산
계육:국산)
마늘쫑지무침
쌀밥/깍두기","근대된장국
떡갈비조림(돈육:국내산)
두부쑥갓무침
고들빼기무침
쌀밥/배추김치","고등어구이*와사비장(고등어:국내산)
콩나물국
건새우무조림
깻잎지무침
쌀밥/배추김치","참치김치찌개
메추리알조림
호박야채볶음
삼색겨자냉채
쌀밥/배추김치","얼갈이된장국
새우동그랑땡
알감자조림
참나물무침
쌀밥/배추김치","가자미튀김
콩나물국
새송이볶음
도시락김
쌀밥/깍두기","북어해장국
파인애플완자조림(돈육:국내산)
마늘쫑멸치볶음
도시락김
쌀밥/배추김치"
700Kcal,675Kcal,659Kcal,708Kcal,624Kcal,689Kcal,624Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"꽈배기도너츠
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","야채죽
어묵볶음
동치미
양배추샐러드
씨리얼/우유/과일","피자토스트(돈육:외국산
국산
계육:국산)
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","알을품은식빵
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치채소죽
사각어묵볶음
오징어무무침(오징어:국내산)
양배추샐러드
씨리얼/우유/과일",,
632Kcal,611Kcal,631Kcal,620Kcal,677Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"닭개장(계육:국내산)
미트볼조림(돈육:국내산)
궁중떡볶이
파래김구이
쌀밥/깍두기","순두부찌개
생선가스(중국산)
건파래볶음
숙주나물
쌀밥/깍두기","제육비빔밥(돈육:미국산)
맑은우동국물
새송이탕수
다시마튀각
배추김치","떡만두국
고기산적조림(돈육
계육:국내산)
김치야채전
청포묵김가루무침
쌀밥/배추겉절이(배추:국내산
고추가루:중국산)","오돈불고기*소면(돈육:미국산
오징어:칠레산)
미역국
연두부*양념장
치커리무침
쌀밥/배추김치","호박고추장찌개
미니돈까스(돈육
계육:국내산)
배추전
무말랭이무침
쌀밥/배추김치","설렁탕&소면사리(우육:호주산)
야채크로켓*케찹
미역줄기볶음
콩나물무침
쌀밥/깍두기"
711Kcal,707Kcal,720Kcal,723Kcal,743Kcal,700Kcal,711Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"메밀소바
김가루주먹밥
사모사
오복지","*NEW육개장칼국수(우육:호주산)
쌀밥(소)
춘권튀김
배추겉절이
(배추:국내산
고추가루:중국산)","야채쫄면
어묵국
김가루양념밥
김말이튀김
단무지","미트소스스파게티(돈육:국내산)
모닝빵*딸기잼
탄산음료
오이피클","양념치킨오므라이스(계육:브라질산)
유부장국
누룽지샐러드
오이피클","굴소스잡채덮밥
짬뽕국
만두튀김*간장
단무지","치킨마요덮밥(계육:국내산)
미소장국
식빵러스크
단무지"
702Kcal,722Kcal,714Kcal,724Kcal,701Kcal,735Kcal,724Kcal
