■생활관식당(블루미르308관)
2017년 05월 08일 ~ 2017년 05월 14일
주간식단표
구분,월요일(05/08),화요일(05/09),수요일(05/10),목요일(05/11),금요일(05/12),토요일(05/13),일요일(05/14)
조식,한식,"고추장찌개
꼬마돈까스(돈육
계육:국내산)
팽이버섯야채볶음
톳양파무침
쌀밥/깍두기","북어해장국
동그랑땡(계육
돈육:국내산)
미역줄기볶음
치커리생채
쌀밥/깍두기","감자어묵찌개
고기산적조림(돈육
계육:국내산)
파래자반
숙주파프리카초무침
쌀밥/깍두기","김치해장국
돼지고기채소볶음(돈육:미국산)
파래김구이
오이지무침
쌀밥/배추김치","갈치구이(모로코산)
미역국
어묵조림
매콤콩나물무침
쌀밥/배추김치","치킨너겟(계육:국내산)
김치콩나물국
게맛살냉채
도시락김
쌀밥/배추김치","떡국
떡갈비조림(돈육:국내산)
도토리묵야채무침
도시락김
쌀밥/배추김치"
660Kcal,612Kcal,650Kcal,699Kcal,637Kcal,628Kcal,689Kcal
07:00~08:40,08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝빵*딸기잼
토마토스크램블에그
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,"길거리샌드위치
당근스프
양배추샐러드
오이피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
맛느타리버섯볶음
양배추샐러드
동치미
씨리얼/우유/과일",,
651Kcal,0Kcal,618Kcal,632Kcal,618Kcal,0Kcal,0Kcal
07:00~08:40, :~ :,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원",         0원,"     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"설렁탕*소면사리(우육:호주산)
김치전
우엉땅콩조림
콩나물무침
쌀밥/깍두기","참치김치찌개&라면사리
두부구이*양념장
알감자떡조림
고춧잎무침
쌀밥/깍두기","돈육고추장볶음(돈육:미국산)
시금치들깨국
양배추쌈*쌈장
무초절임
쌀밥/배추김치","닭야채볶음(계육:브라질산)
콩나물국
마늘쫑멸치볶음
얼갈이겉절이(배추:국내산
고추가루:중국산)
쌀밥/깍두기","열무비빔밥*계란후라이
일식장국
마카로니샐러드
배추김치","장터국밥(우육:호주산)
메추리알곤약조림
오징어무무침(오징어:칠레산)
상추들깨겉절이
쌀밥/깍두기","햄모듬찌개(돈육:외국산
국산
계육:국산)
계란찜
배추전*간장
실곤약겨자무침
쌀밥/깍두기"
724Kcal,715Kcal,732Kcal,702Kcal,722Kcal,729Kcal,707Kcal
11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"*NEW청양풍닭고기덮밥(계육:브라질산)
미역국
사모사튀김
배추김치","너비아니마요덮밥(돈육
계육:국내산)
팽이버섯장국
단호박맛탕
단무지","오코노미돈까스(돈육:국내산)
미소장국
채소볶음밥
양배추샐러드
단무지","냉김치말이국수
김가루양념밥
물만두찜
단무지","떡갈비마요덮밥(돈육:국내산)
일식장국
미니핫도그(돈육
계육:국내산)
무비트피클","등심돈까스(돈육:국내산)
크림스프
감자튀김
야채볶음밥
오이피클","메밀소바
김가루양념밥
야채크로켓*케찹
오복지"
720Kcal,730Kcal,731Kcal,727Kcal,731Kcal,708Kcal,722Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
