■생활관식당(블루미르308관)
2017년 05월 15일 ~ 2017년 05월 21일
주간식단표
구분,월요일(05/15),화요일(05/16),수요일(05/17),목요일(05/18),금요일(05/19),토요일(05/20),일요일(05/21)
조식,한식,"오징어뭇국(오징어:칠레산)
완자파인애플조림(돈육
계육:국내산)
느타리버섯볶음
고들빼기절임
쌀밥/배추김치","수제비국
떡갈비조림(돈육:국내산)
명엽채볶음
고추지무침
쌀밥/배추김치","동태매운탕(동태:러시아산)
어묵볶음
무햄볶음(돈육:외국산
국산
계육:국산)
다시마쌈&초장
쌀밥/깍두기","북어채미역국
꼬마돈까스튀김(돈육
계육:국내산)
미역줄기볶음
브로컬리*초장
쌀밥/깍두기","고추장찌개&당면사리
계란찜
마늘쫑햄볶음(돈육:외국산
국산
계육:국산)
쫑상추겉절이
쌀밥/배추김치","순두부찌개
비엔나조랭이조림(돈육:외국산
국산
계육:국산)
깻잎순겉절이
도시락김
쌀밥/깍두기","매운쇠고기뭇국(우육:호주산)
바베큐바조림(돈육
계육:국내산)
쑥갓겉절이
도시락김
쌀밥/깍두기"
690Kcal,659Kcal,622Kcal,635Kcal,640Kcal,622Kcal,680Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치&구운버터감자
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","식빵토스트*계란후라이*딸기잼
양배추샐러드
옥수수스프
오이피클
씨리얼/우유/과일","야채죽
메추리알곤약조림
무말랭이무침
양배추샐러드
씨리얼/우유/과일","모닝빵*딸기잼
감자튀김*케찹
양배추샐러드
크림스프
오이피클
씨리얼/우유/과일","피자토스트(돈육:외국산
국산
계육:국산)
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
622Kcal,615Kcal,610Kcal,609Kcal,627Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돈육모듬장조림(돈육:국내산)
쑥갓어묵국
연두부*양념장
콩나물무침
쌀밥/배추김치","나물비빔밥*김가루
근대된장국
야채크로켓
콘샐러드
배추김치","장터국밥(우육:호주산)
완자조림(계육
돈육:국내산)
알감자떡조림
미역초무침
쌀밥/깍두기","닭곰탕(계육:국내산)
햄전(돈육:외국산
국산
계육:국내산)
우엉조림
돌나물초장무침
쌀밥/깍두기","만둣국
고기산적조림(돈육
계육:국내산)
건파래자반
참나물겉절이
쌀밥/배추겉절이(배추:국내산
고추가루:중국산)","제육고추장볶음(돈육:미국산)
배추된장국
두부찜*양념장
부추생채
쌀밥/배추김치","김치수제비
떡갈비조림(돈육:국내산)
어묵볶음
천사채샐러드
쌀밥/솎음배추겉절이(배추:국내산
고추가루:중국산)"
713Kcal,709Kcal,727Kcal,712Kcal,710Kcal,728Kcal,728Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
