■생활관식당(블루미르308관)
2017년 05월 22일 ~ 2017년 05월 28일
주간식단표
구분,월요일(05/22),화요일(05/23),수요일(05/24),목요일(05/25),금요일(05/26),토요일(05/27),일요일(05/28)
조식,한식,"북어채해장국
계란찜
미역줄기볶음
참나물겉절이
쌀밥/배추김치","두부김치찌개
후랑크야채볶음(돈육:외국산
국산
계육:국산)
탕평채
돌나물초고추장무침
쌀밥/깍두기","건새우얼갈이된장국
참치김치볶음
두부찜*양념장
미역초무침
쌀밥/깍두기","고등어무조림(고등어:국내산)
얼큰콩나물국
파래김구이*양념장
부추생채
쌀밥/배추김치","떡국
완자전(계육
돈육:국내산)
게맛살야채조림
오리엔탈치커리무침
쌀밥/깍두기","참치김치찌개
너비아니엿장조림(돈육
계육:국내산)
명엽채볶음
도시락김
쌀밥/깍두기","장터국밥(우육:호주산)
옛날소시지전
깻잎지절임
도시락김
쌀밥/깍두기"
622Kcal,688Kcal,657Kcal,612Kcal,644Kcal,655Kcal,700Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"단호박샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","버섯야채죽
메추리알장조림
배추김치
양배추샐러드
씨리얼/우유/과일","피자토스트(돈육:외국산
국산
계육:국산)
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
어묵조림
백나박김치(배추:국내산)
양배추샐러드
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
630Kcal,610Kcal,641Kcal,600Kcal,609Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"닭갈비(계육:브라질산)
배추된장국
맛살겨자냉채
열무나물
쌀밥/깍두기","돈육고추장볶음(돈육:미국산)
미역국
양배추쌈*쌈장
콩나물파생채
쌀밥/배추김치","사골우거지탕(우육:호주산)(농축액
우사골:호주산)
비엔나조랭이조림(계육:국산
돈육:외국산
국산)
느타리버섯볶음
깻잎지무침
쌀밥/깍두기","육개장(우육:호주산)
꼬마돈까스튀김(돈육
계육:국내산)
마늘쫑멸치볶음
쫑상추겉절이
쌀밥/깍두기","매운쇠고기무국(우육:호주산)
잡채
연근조림
청포묵김가루무침
쌀밥/깍두기","돈육굴소스숙주볶음(돈육:미국산)
시금치된장국
두부구이*양념장
무초절임
쌀밥/배추김치","햄모듬찌개(돈육:외국산
국산
계육:국산)
메추리알곤약조림
야채전
숙주미나리나물
쌀밥/깍두기"
711Kcal,730Kcal,717Kcal,712Kcal,750Kcal,700Kcal,727Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"비빔야채국수
김가루양념밥
유부장국
고구마맛탕
단무지","치킨마요덮밥(계육:국내산)
맑은우동국물
단호박튀김
오이피클","*NEW초계국수(계육:국내산)
김가루양념밥
올방개묵무침
배추겉절이(배추:국내산
고추가루:중국산)","마파두부덮밥(돈육:국내산)
계란파국
탕수육(돈육:국내산)
단무지","冷)김치말이국수
김가루양념밥
깐풍만두
단무지","등심돈까스(돈육:국내산)
유부장국
양배추샐러드
감자튀김*케찹
쌀밥(소)/배추김치","떡갈비마요덮밥(돈육:국내산)
미소장국
야채크로켓
단무지"
702Kcal,724Kcal,725Kcal,709Kcal,716Kcal,713Kcal,730Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)돌솥비빔밥*계란후라이
배추된장국
푸실리샐러드
깍두기","(뚝)장조림버터밥(돈육:국내산)
맑은우동국물
야채춘권
배추김치","새우튀김오므라이스
유부장국
누룽지샐러드
락교*단무지","쫄가스(돈육:국내산)
어묵국
김가루양념밥
오이피클","*NEW(뚝)동태매운탕(동태:러시아산)*수제비사리
만두튀김
콩자반
쌀밥/깍두기",,
735Kcal,715Kcal,733Kcal,729Kcal,719Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
