■생활관식당(블루미르308관)
2017년 05월 01일 ~ 2017년 05월 07일
주간식단표
구분,월요일(05/01),화요일(05/02),수요일(05/03),목요일(05/04),금요일(05/05),토요일(05/06),일요일(05/07)
조식,한식,"치킨너겟(계육:국내산)
김치두부국
알감자조림
게맛살겨자냉채
쌀밥/깍두기","순두부찌개
후랑크야채볶음(돈육:외국산
국산
계육:국산)
굴소스느타리볶음
시금치나물
쌀밥/깍두기","쇠고기무국(우육:호주산)
메추리알장조림
건파래자반
열무생채
쌀밥/배추김치","수제비국
고기산적조림(돈육
계육:국내산)
미역줄기볶음
부추생채
쌀밥/배추김치","오징어불고기(돈육:미국산
오징어:칠레산)
다시마무채국
양배추쌈*쌈장
쑥갓겉절이
쌀밥/배추김치","햄모듬찌개(돈육:외국산
국산
계육:국산)
메추리알조림
새송이야채볶음
도시락김
쌀밥/깍두기","동태강정(동태:러시아산)
김치국
주키니호박볶음
도시락김
쌀밥/깍두기"
610Kcal,610Kcal,660Kcal,653Kcal,669Kcal,660Kcal,651Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝빵*딸기잼
감자튀김
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","건포도머핀
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,"시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,,
670Kcal,612Kcal,0Kcal,640Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돈육고추장볶음(돈육:미국산)
미역국
양배추쌈*쌈장
무초절임
쌀밥/배추김치","닭곰탕(계육:국내산)
미니돈까스(돈육
계육:국내산)
연두부*양념장
깐마늘장아찌
쌀밥/깍두기","순대야채볶음
팽이버섯장국
단호박맛탕
상추치커리겉절이
쌀밥/배추김치","장터국밥(우육:호주산)
떡갈비조림(돈육:국내산)
마늘쫑멸치볶음
다시마채*초장
쌀밥/깍두기","산채비빔밥*계란후라이
된장찌개
만두탕수
배추김치","닭갈비(계육:브라질산)
콩나물국
모듬채소전
무생채
쌀밥/배추김치","나물비빔밥*김가루
시금치된장국
미트볼양념조림(돈육:국내산)
콘샐러드
배추김치"
731Kcal,724Kcal,725Kcal,720Kcal,740Kcal,735Kcal,732Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"冷)열무물국수
김가루양념밥
물만두찜*간장
단무지","규동(우육:호주산)
유부장국
누룽지샐러드
단무지","돈가스김치덮밥(돈육:국내산)
팽이버섯장국
양배추콘샐러드
단무지","꼬치어묵우동
김가루양념밥
춘권튀김
단무지",,"카레라이스
어묵국
쫄면야채무침
야채크로켓
단무지","야끼우동
팽이버섯장국
김가루양념밥
새우까스&타르S
오복지"
722Kcal,730Kcal,713Kcal,731Kcal,0Kcal,732Kcal,721Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"매콤소시지검보(돈육:외국산
국산)
미소장국
푸실리샐러드
오이피클","(뚝)부대찌개*라면사리(돈육:외국산
국산
계육:국산)
계란찜
콩자반
쌀밥/깍두기",,"(뚝)돌솥비빔밥*계란후라이
미역국
연두부*양념장
배추김치",,,
709Kcal,728Kcal,0Kcal,718Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"참치채소비빔밥
시래기국
햄전(돈육:외국산
국산
계육:국산)
마카로니샐러드
배추김치","떡국
완자전(돈육
계육:국내산)
해초샐러드
우엉채땅콩조림
쌀밥/배추겉절이(배추:국내산
고추가루:중국산)","꽁치무조림
시금치된장국
어묵채볶음
브로컬리*초장
쌀밥/배추김치","오징어찌개(오징어:칠레산)
잡채
새송이탕수
올방개묵무침
쌀밥/배추김치",,"사천식돈육불고기(돈육:미국산)
아욱국
숙주나물
마늘쫑지
쌀밥/배추김치","육개장(우육:호주산)
환어묵탕수
두부찜*간장
명엽채볶음
쌀밥/깍두기"
720Kcal,714Kcal,711Kcal,724Kcal,0Kcal,693Kcal,764Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"등심돈가스(돈육:국내산)
야채볶음밥
크림스프
감자튀김
오이피클","토마토소스스파게티
마늘바게트
오이피클
탄산음료","떡갈비마요덮밥(돈육:국내산)
미소장국
떡강정
모듬수제피클","마파두부덮밥(돈육:국내산)
계란파국
탕수육(돈육:국내산)
짜사이채무침","소시지오므라이스(돈육:외국산
국산)
팽이버섯장국
후르츠샐러드
오이피클","참치김치덮밥
유부장국
단호박조림
단무지","치킨가스(계육:국내산)
크림스프
야채볶음밥
감자튀김
오이피클"
735Kcal,710Kcal,733Kcal,732Kcal,728Kcal,699Kcal,714Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품3,닭가슴살샐러드,닭가슴살샐러드,닭가슴살샐러드,닭가슴살샐러드,닭가슴살샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,289Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,389Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
