■생활관식당(블루미르308관)
2017년 06월 05일 ~ 2017년 06월 11일
주간식단표
구분,월요일(06/05),화요일(06/06),수요일(06/07),목요일(06/08),금요일(06/09),토요일(06/10),일요일(06/11)
조식,한식,"고추장찌개
동그랑땡(계육
돈육:국내산)
미역줄기볶음
깻잎지무침
쌀밥/깍두기","얼갈이된장국
떡갈비조림
(돈육:국내산)
어묵볶음
시금치나물
쌀밥/배추김치","갈치구이(갈치:모로코산)
김치국
숙주미나리나물
파래김구이
쌀밥/깍두기","들깨미역국
후랑크야채볶음(돈육:외국산
국산
계육:국산)
청포묵무침
고추지무침
쌀밥/배추김치","새우동그랑땡
어묵김치찌개
호박볶음
청경채겉절이
쌀밥/깍두기","동태매운탕(동태:러시아산)
미트볼조림(돈육:국내산)
숙주나물
도시락김
쌀밥/깍두기","유부김치국
치킨너겟(계육:국내산)
도토리묵무침
도시락김
쌀밥/깍두기"
621Kcal,690Kcal,661Kcal,670Kcal,687Kcal,617Kcal,624Kcal
07:00~08:40,08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"핫케익
옥수수스프
양배추샐러드
오이피클
씨리얼/우유/과일",,"참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","모닝빵*딸기잼
데친소시지(돈육:외국산
국산
계육:국산)
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","야채죽
메추리알조림
동치미
씨리얼/우유/과일",,
610Kcal,0Kcal,601Kcal,623Kcal,637Kcal,0Kcal,0Kcal
07:00~08:40, :~ :,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원",         0원,"     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"닭곰탕*소면사리(계육:국내산)
옛날소시지전
탕평채
치커리생채
쌀밥/깍두기","참치김치찌개
고기산적조림(돈육:국내산)
건파래자반
콩나물무침
쌀밥/깍두기","쇠고기대파해장국(우육:호주산)
미트볼조림(돈육:국내산)
잡채
무말랭이무침
쌀밥/배추김치","돈육야채비빔밥(돈육:미국산)
배추된장국
연두부*양념장
다시마튀각
배추김치","꽁치무조림
미역국
소면야채무침
마카로니샐러드
쌀밥/배추김치","순두부찌개
고기산적조림(돈육
계육:국내산)
옥수수전
열무생채
쌀밥/깍두기","햄섞어찌개(돈육:외국산
국산
계육:국산)
두부구이*양념장
건파래자반
해초무침
쌀밥/깍두기"
705Kcal,720Kcal,699Kcal,711Kcal,729Kcal,699Kcal,711Kcal
11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"치킨마요덮밥(계육:국내산)
유부장국
단호박맛탕
오이피클","냉김치말이국수
김가루양념밥
물만두찜
단무지","육개장칼국수(우육:호주산)
쌀밥(소)
도토리묵야채무침
배추겉절이(배추:국내산
고추가루:중국산)","함박스테이크(계육
돈육:국내산)
크림스프
샐러드파스타
야채볶음밥
단무지","청양풍돈육야채덮밥(돈육:미국산)
맑은우동국물
새송이탕수
단무지","등심돈까스(돈육:국내산)
크림스프
야채볶음밥
감자튀김*케찹
단무지","야끼우동
팽이버섯장국
김가루양념밥
새우까스&타르S
오복지"
725Kcal,700Kcal,732Kcal,705Kcal,733Kcal,721Kcal,724Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)쫄면순두부찌개
춘권튀김*칠리소스
양배추비트절임
쌀밥/깍두기",,"새우튀김오므라이스
유부장국
누룽지샐러드
오이피클","(뚝)부대찌개*라면사리(돈육:외국산
국산
계육:국산)
계란찜
콩나물무침
쌀밥/깍두기","(뚝)돌솥비빔밥*계란후라이
유부장국
해초샐러드
깍두기",,
700Kcal,0Kcal,727Kcal,724Kcal,708Kcal,0Kcal,0Kcal
11:30~13:00, :~ :,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원",         0원,"     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"떡국
너비아니엿장조림(계육
돈육:국내산)
두부땅콩강정
실곤약들깨무침
쌀밥/배추김치","강된장비빔밥
다시마무채국
오징어링깐풍(오징어:중국산)
마카로니샐러드
배추김치","닭갈비(계육:브라질산)
미소장국
연근조림
상추겉절이
쌀밥/배추김치","김치수제비
청파래오징어까스(중국산)
맛느타리호박볶음
오이지무침
쌀밥/깍두기","만두국
비엔나조림(계육:국산
돈육:외국산
국산)
김치전
명엽채고추장볶음
쌀밥/배추김치","육개장(우육:호주산)
완자계란구이(계육
돈육:국내산)
무양념조림
부추오리엔탈무침
쌀밥/깍두기","취나물밥*양념장
콩나물국
꼬마돈까스조림(돈육
계육:국내산)
참나물무침
배추김치"
724Kcal,726Kcal,709Kcal,739Kcal,716Kcal,701Kcal,739Kcal
17:30~19:00,17:30~18:30,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"매콤오징어야채덮밥(오징어:칠레산)
미소장국
야채크로켓
단무지","사천자장덮밥
계란파국
탕수육(돈육:국내산)
단무지","참치김치덮밥
어묵국
궁중떡볶이
오이피클","돈코츠라멘(돈육:독일산
돈목뼈:캐나다산)
후식
단무지","카레볶음밥
유부장국
쫄면채소무침
콘슬로우
단무지","메밀소바
김가루양념밥
딤섬(찐빵)
단무지","닭갈비볶음밥(계육:브라질산)
유부장국
핫도그(계육
돈육:국내산)
단무지"
739Kcal,735Kcal,725Kcal,720Kcal,710Kcal,730Kcal,718Kcal
17:30~19:00,17:30~18:30,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,622Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,610Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
,일품3,닭가슴살샐러드,닭가슴살샐러드,닭가슴살샐러드,닭가슴살샐러드,닭가슴살샐러드,,
289Kcal,289Kcal,289Kcal,289Kcal,727Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품4,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,치킨텐더샐러드,,
389Kcal,389Kcal,389Kcal,389Kcal,730Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
공지사항,
