■생활관식당(블루미르308관)
2017년 06월 12일 ~ 2017년 06월 18일
주간식단표
구분,월요일(06/12),화요일(06/13),수요일(06/14),목요일(06/15),금요일(06/16),토요일(06/17),일요일(06/18)
조식,한식,"콩나물해장국
섭산적조림(돈육:국내산)
새송이굴소스볶음
깻잎지무침
쌀밥/깍두기","햄모듬찌개(돈육:외국산
국산
계육:국산)
통꽁치구이
미역줄기볶음
마늘장아찌
쌀밥/배추김치","닭고기떡장조림(계육:브라질산)
시락국
오이생채
얼갈이된장나물
쌀밥/배추김치","어묵김칫국
계란찜
들깨고구마순볶음
고들빼기절임
쌀밥/깍두기","갈치구이(모로코산)
미역국
콩나물무침
연근조림
쌀밥/배추김치","김칫국
동그랑땡(계육
돈육:국내산)
도시락김
브로컬리*초장
쌀밥/깍두기","매운수제비국
비엔나조림(계육:국산
돈육:외국산
국산)
호박새우젓볶음
도시락김
쌀밥/배추김치"
653Kcal,690Kcal,622Kcal,660Kcal,650Kcal,670Kcal,689Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"토스트&계란후라이
크림스프
양배추샐러드
씨리얼/우유/과일","참치야채죽
버섯야채볶음
무말랭이무침
양배추샐러드
씨리얼/우유/과일","길거리샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","모닝빵*딸기잼
감자튀김*케찹
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","핫케익
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
640Kcal,622Kcal,610Kcal,651Kcal,618Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"사천식돈육볶음(돈육:미국산)
미역냉국
양배추쌈*쌈장
무나물
쌀밥/배추김치","장터국밥(우육:호주산)
메추리알곤약조림
연두부*양념장
치커리생채
쌀밥/깍두기","참치야채비빔밥*김가루
미역국
김치전
미트볼조랭이조림(돈육:국내산)
쌀밥/깍두기","전주식콩나물국밥(오징어:칠레산)
청파래오징어까스(중국산)
느타리야채볶음
고추지무침
쌀밥/깍두기","닭개장(계육:국내산)
완자조림(계육
돈육:국내산)
모듬야채전
도토리묵야채무침
쌀밥/깍두기","쇠고기대파해장국(우육:호주산)
잡채
청포묵김가루무침
참치채소전
쌀밥/깍두기","김치찌개
만두깐풍
두부구이*양념장
실곤약겨자무침
쌀밥/깍두기"
720Kcal,713Kcal,727Kcal,724Kcal,732Kcal,750Kcal,700Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
