■생활관식당(블루미르308관)
2017년 06월 19일 ~ 2017년 06월 25일
주간식단표
구분,월요일(06/19),화요일(06/20),수요일(06/21),목요일(06/22),금요일(06/23),토요일(06/24),일요일(06/25)
조식,한식,"북어해장국
계란찜
가지나물
오이양파무침
쌀밥/깍두기","모듬장조림(돈육:미국산)
김치국
양배추진미채무침(오징어:페루산)
마늘쫑지
쌀밥/깍두기","쑥갓어묵국
메추리알곤약조림
브로컬리*초장
미나리무생채
쌀밥/배추김치","된장찌개
참치김치볶음
올방개묵*양념장
미역줄기볶음
쌀밥/깍두기","비엔나야채볶음(계육:국산
돈육:외국산
국산)
배추된장국
알감자조림
숙주나물
쌀밥/배추김치
","닭야채떡볶음(계육:브라질산)
미역국
도시락김
멸치볶음
쌀밥/배추김치","갈치구이(모로코산)
순두부맑은국
도시락김
맛느타리버섯볶음
쌀밥/깍두기"
691Kcal,698Kcal,650Kcal,660Kcal,675Kcal,655Kcal,697Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"닭죽(계육:국내산)
환어묵조림
동치미
씨리얼/과일/우유","피자토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
오징어젓무무침(오징어:국내산)
백나박김치
씨리얼/과일/우유","모닝빵*딸기잼
감자튀김
크림스프
양배추샐러드
씨리얼/우유/과일","꽈배기도너츠
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
635Kcal,612Kcal,618Kcal,651Kcal,611Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"강된장비빔밥
콩나물국
생선까스(중국산)
해초샐러드
배추김치","순대야채볶음
미역냉국
단호박전
마카로니샐러드
쌀밥/배추김치","설렁탕*소면사리(우육:호주산)(농축액
우사골:호주산)
미트볼조림(돈육:국내산)
호박볶음
고추지무침
쌀밥/깍두기","순두부찌개
옛날소시지전
비빔만두
시금치나물
쌀밥/깍두기","돈육모듬장조림(돈육:미국산)
호박새우젓국
연두부*양념장
치커리유자청무침
쌀밥/깍두기","돈육김치볶음(돈육:미국산)
얼갈이국
건파래자반
탕평채
쌀밥/깍두기","사골떡국(농축액
우사골:호주산)
꼬마돈까스(돈육
계육:국내산)
연근땅콩조림/부추생채
배추겉절이(배추:국내산
고추가루:중국산)"
702Kcal,699Kcal,732Kcal,724Kcal,707Kcal,700Kcal,712Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"冷)콩국수
김치전
도토리묵양념장
솎음배추겉절이(배추:국내산
고추가루:중국산)","짬뽕덮밥
미소시루
깐풍기(계육:국내산)
단무지","닭갈비덮밥(계육:브라질산)
일식장국
두부도너츠
단무지","NEW)냉우동
김가루양념밥
지마구
단무지","메밀소바
김가루양념밥
수제야채튀김
단무지",,
753Kcal,700Kcal,731Kcal,720Kcal,722Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)돈육불고기(돈육:미국산)*당면사리
유부장국
양배추쌈
무초절임
쌀밥/배추김치","매콤소시지검보(돈육:외국산
국산)
미소시루
누룽지샐러드
오이피클","메밀막국수
팽이버섯장국
김가루양념밥
만두찜
무초절임","(뚝)돌솥비빔밥*계란후라이
미역국
어묵볶음
배추김치","뚝)부대찌개*라면사리(돈육:외국산
국산
계육:국산)
계란찜
도시락김
쌀밥/깍두기",,
714Kcal,734Kcal,715Kcal,716Kcal,734Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
