■생활관식당(블루미르308관)
2017년 06월 26일 ~ 2017년 07월 02일
주간식단표
구분,월요일(06/26),화요일(06/27),수요일(06/28),목요일(06/29),금요일(06/30),토요일(07/01),일요일(07/02)
조식,한식,"쇠고기미역국(우육:호주산)
새우동그랑땡
브로컬리*초장
명엽채무침
쌀밥/배추김치","콩비지찌개(콩:외국산)
떡갈비조림(돈육:국내산)
느타리버섯볶음
치커리생채
쌀밥/깍두기","매운쇠고기무국(우육:호주산)
완자전(계육
돈육:국내산)
숙주미나리나물
오이지무침
쌀밥/깍두기","사천식돼지고기볶음(돈육:미국산)
시금치된장국
깻잎지무침
파래김구이
쌀밥/배추김치","닭고기채소볶음(계육:브라질산)
무들깨국
어묵전*간장
참나물겉절이
쌀밥/배추김치","너비아니엿장조림(돈육
계육:국내산)
조랭이떡국
실곤약채소무침
도시락김
쌀밥/깍두기","치킨너겟(계육:국내산)
명엽채볶음
북어채매운국
도시락김
쌀밥/배추김치"
647Kcal,686Kcal,673Kcal,644Kcal,647Kcal,710Kcal,658Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"꽈배기도너츠
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
백나박물김치
오징어젓무무침(오징어:국내산)
씨리얼/과일/우유","콩도너츠
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","야채죽
삶은계란*소금
무말랭이무침
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
611Kcal,556Kcal,690Kcal,681Kcal,666Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"설렁탕*소면사리(우육:호주산)
김치전
어묵볶음
콩자반
쌀밥/깍두기","돈육고추장볶음(돈육:미국산)
오이냉국
건새우무조림
다시마튀각
쌀밥/배추김치","단호박닭찜(계육:브라질산)
콩나물국
미역줄기볶음
깐마늘지
쌀밥/배추김치","호박고추장찌개
고기산적조림(돈육
계육:국내산)
굴소스잡채
오이생채
쌀밥/배추김치","콩나물밥*부추양념장
솎음배추국
맛느타리버섯볶음
생선까스(중국산)
배추김치","제육고추장볶음(돈육:미국산)
미역국
양배추쌈*쌈장
숙주나물무침
쌀밥/배추김치","열무비빔밥*계란후라이
미소장국
야채춘권
누룽지샐러드
배추김치"
710Kcal,765Kcal,681Kcal,777Kcal,734Kcal,686Kcal,776Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"메밀소바
김가루양념밥
타코야끼
단무지","얼큰짬뽕
쌀밥(소)
버섯탕수
단무지","냉김치말이국수
김가루양념밥
만두깐풍
단무지","로제스파게티
모닝빵*딸기잼
오이피클
탄산음료","초계국수(계육:국내산)
김가루양념밥
올방개묵무침
배추겉절이(배추:국내산
고추가루:중국산)",,
722Kcal,743Kcal,777Kcal,748Kcal,718Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"(뚝)장조림버터밥(돈육:국내산)
팽이버섯장국
떡양념강정
락교*단무지","(뚝)돌솥비빔밥*계란후라이
미소장국
연두부*양념장
배추김치","새우튀김오므라이스
우동국
푸실리샐러드
오이피클","(뚝)뼈해장국*수제비사리(돈목뼈:캐나다산)
배추전
양파초간장절임
쌀밥/깍두기","*3분김치찌개*(뚝)돈육김치찌개(돈육:미국산)
계란찜
부추생채
쌀밥*김가루/깍두기",,
652Kcal,700Kcal,728Kcal,758Kcal,758Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"꽁치무조림
열무된장국
소면야채무침
마카로니샐러드
쌀밥/배추김치","사골우거지탕(우육:호주산)
후랑크야채볶음(돈육:외국산
국산
계육:국산)
도토리묵*양념장
콩나물무침
쌀밥/깍두기","북어채수제비국
미트볼조림(돈육:국내산)
마늘쫑멸치볶음
게맛살겨자냉채
쌀밥/배추김치","순대야채볶음
미역국
어묵조림
실곤약겨자무침
쌀밥/배추김치","청국장찌개(돈육:미국산)
완자파인애플(계육
돈육:국내산)
감자채볶음
다시마숙회*초장
쌀밥/깍두기","닭개장*당면사리(계육:국내산)
두부탕수
연근조림
미역양파무침
쌀밥/깍두기",
724Kcal,733Kcal,768Kcal,750Kcal,726Kcal,765Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈까스김치덮밥(돈육:국내산)
유부장국
누룽지샐러드
단무지","카레라이스
맑은장국
두부오징어가스(오징어:칠레산)
양배추샐러드
배추김치","김치볶음밥*계란후라이
맑은우동국물
매콤고로케
단무지","소시지오므라이스(돈육:외국산)
유부장국
콘샐러드
오이피클","비빔국수
팽이버섯장국
김가루양념밥
고구마맛탕
단무지",,"참치김치덮밥
어묵국
군만두*간장
단무지"
716Kcal,724Kcal,667Kcal,765Kcal,731Kcal,0Kcal,668Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
간식,일품1,참치샐러드,참치샐러드,참치샐러드,참치샐러드,참치샐러드,,
250Kcal,250Kcal,250Kcal,250Kcal,250Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
일품2,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,두부견과류샐러드,,
216Kcal,216Kcal,216Kcal,216Kcal,216Kcal,,
07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,07:00~14:00,,
"     3,500원","     3,500원","     3,500원","     3,500원","     3,500원",,
