■생활관식당(블루미르308관)
2017년 05월 29일 ~ 2017년 06월 04일
주간식단표
구분,월요일(05/29),화요일(05/30),수요일(05/31),목요일(06/01),금요일(06/02),토요일(06/03),일요일(06/04)
조식,한식,"김치해장국
고기산적조림(돈육
계육:국내산)
느타리버섯볶음
양배추진미채무침(오징어:페루산)
쌀밥/깍두기","꽁치한마리튀김
시금치된장국
환어묵조림
매콤콩나물무침
쌀밥/배추김치","김치찌개
꼬마돈까스튀김(돈육
계육:국내산)
무팽이버섯나물
고추지무침
쌀밥/깍두기","치킨너겟(계육:국내산)
북어채국
호박새우젓볶음
열무생채
쌀밥/깍두기","매운모듬떡장조림(돈육:미국산)
무들깻국
마늘쫑멸치볶음
시금치나물
쌀밥/배추김치","쇠고기무국(우육:호주산)
새우동그랑땡
들깨고구마순볶음
도시락김
쌀밥/깍두기","순두부찌개
햄야채볶음(돈육:외국산
국산
계육:국산)
얼갈이나물
도시락김
쌀밥/깍두기"
650Kcal,653Kcal,624Kcal,607Kcal,728Kcal,660Kcal,612Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"꽈배기도너츠
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","참치야채죽
메추리알곤약조림
동치미
양배추샐러드
씨리얼/우유/과일","길거리토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","핫케익
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","모닝빵*딸기잼
감자튀김
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일",,
618Kcal,640Kcal,638Kcal,612Kcal,610Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"안동찜닭(계육:브라질산)
미역국
매운어묵볶음
무초절임
쌀밥/배추김치","설렁탕*소면사리(우육:호주산)(농축액
우사골:호주산)
옥수수전
가지나물
깐마늘장아찌
쌀밥/깍두기","사천식돈육볶음(돈육:미국산)
고추장찌개
맛살야채볶음
미역초무침
쌀밥/배추김치","취나물밥*양념장
배추된장국
미트볼조림(돈육:국내산)
깻잎지무침
배추김치","고등어무조림(고등어:국내산)
미역국
고추장떡
쫑상추겉절이
쌀밥/배추김치","돼지고기고추장볶음(돈육:미국산)
얼갈이된장국
양배추쌈*쌈장
무생채
쌀밥/배추김치","장터국밥(우육:호주산)
만두강정
사각어묵채볶음
삼색겨자냉채
쌀밥/깍두기"
732Kcal,720Kcal,725Kcal,710Kcal,727Kcal,735Kcal,715Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"자장덮밥
짬뽕국
군만두튀김*간장
단무지","미트스파게티(돈육:국내산)
모닝빵*딸기잼
오이피클
탄산음료","야끼우동
김가루양념밥
팽이버섯장국
사모사튀김
단무지","돈가스마요덮밥(돈육:국내산)
맑은우동국물
단호박튀김
단무지","메밀소바
김가루양념밥
야채춘권
락교*단무지","스팸마요덮밥(돈육:외국산
국산)
유부장국
단호박조림
단무지","오야꼬동(계육:브라질산)
유부장국
지마구
단무지"
731Kcal,731Kcal,720Kcal,737Kcal,730Kcal,732Kcal,730Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
